"Lunch Participation of Eligible Students"
3/17/2022

Year,Division,Level,Percent
"2018 - 2019","Prince George County Public Schools",DIV,42
"2018 - 2019","Prince William County Public Schools",DIV,42.3
"2018 - 2019","Pulaski County Public Schools",DIV,65.3
"2018 - 2019","Radford City Public Schools",DIV,44.5
"2018 - 2019","Rappahannock County Public Schools",DIV,37.3
"2018 - 2019","Richmond City Public Schools",DIV,100
"2018 - 2019","Richmond County Public Schools",DIV,74.1
"2018 - 2019","Roanoke City Public Schools",DIV,96.3
"2018 - 2019","Roanoke County Public Schools",DIV,29.8
"2018 - 2019","Rockbridge County Public Schools",DIV,45.5
"2018 - 2019","Rockingham County Public Schools",DIV,40.4
"2018 - 2019","Russell County Public Schools",DIV,63.2
"2018 - 2019","Salem City Public Schools",DIV,37.6
"2018 - 2019","Scott County Public Schools",DIV,64.6
"2018 - 2019","Shenandoah County Public Schools",DIV,45.7
"2018 - 2019","Smyth County Public Schools",DIV,70
"2018 - 2019","Southampton County Public Schools",DIV,49.5
"2018 - 2019","Spotsylvania County Public Schools",DIV,38.9
"2018 - 2019","Stafford County Public Schools",DIV,31
"2018 - 2019","Staunton City Public Schools",DIV,54.7
"2018 - 2019","Suffolk City Public Schools",DIV,49.5
"2018 - 2019","Surry County Public Schools",DIV,63.6
"2018 - 2019","Sussex County Public Schools",DIV,88
"2018 - 2019","Tazewell County Public Schools",DIV,61.6
"2018 - 2019","Virginia Beach City Public Schools",DIV,39.9
"2018 - 2019","Warren County Public Schools",DIV,46.1
"2018 - 2019","Washington County Public Schools",DIV,49.9
"2018 - 2019","Waynesboro City Public Schools",DIV,62.1
"2018 - 2019","West Point Public Schools",DIV,31.1
"2018 - 2019","Westmoreland County Public Schools",DIV,75.3
"2018 - 2019","Williamsburg-James City County Public Schools",DIV,32.8
"2018 - 2019","Winchester City Public Schools",DIV,67.6
"2018 - 2019","Wise County Public Schools",DIV,77.7
"2018 - 2019","Wythe County Public Schools",DIV,50.5
"2018 - 2019","York County Public Schools",DIV,22.8
"2019 - 2020","Accomack County Public Schools",DIV,91.1
"2019 - 2020","Albemarle County Public Schools",DIV,30
"2019 - 2020","Alexandria City Public Schools",DIV,59.7
"2019 - 2020","Alleghany County Public Schools",DIV,56.1
"2019 - 2020","Amelia County Public Schools",DIV,53.3
"2019 - 2020","Amherst County Public Schools",DIV,55.5
"2019 - 2020","Appomattox County Public Schools",DIV,48.7
"2019 - 2020","Arlington County Public Schools",DIV,29.1
"2019 - 2020","Augusta County Public Schools",DIV,39
"2019 - 2020","Bath County Public Schools",DIV,55.1
"2019 - 2020","Bedford County Public Schools",DIV,40.2
"2019 - 2020","Bland County Public Schools",DIV,50.5
"2019 - 2020","Botetourt County Public Schools",DIV,27.4
"2019 - 2020","Bristol City Public Schools",DIV,88.7
"2019 - 2020","Brunswick County Public Schools",DIV,97.7
"2019 - 2020","Buchanan County Public Schools",DIV,84.1
"2019 - 2020","Buckingham County Public Schools",DIV,75
"2019 - 2020","Buena Vista City Public Schools",DIV,67
"2019 - 2020","Campbell County Public Schools",DIV,49
"2019 - 2020","Caroline County Public Schools",DIV,52.2
"2019 - 2020","Carroll County Public Schools",DIV,59
"2019 - 2020","Charles City County Public Schools",DIV,55.8
"2019 - 2020","Charlotte County Public Schools",DIV,57.9
"2019 - 2020","Charlottesville City Public Schools",DIV,54.7
"2019 - 2020","Chesapeake City Public Schools",DIV,40.3
"2019 - 2020","Chesterfield County Public Schools",DIV,38.1
"2019 - 2020","Clarke County Public Schools",DIV,21.2
"2019 - 2020","Colonial Beach Public Schools",DIV,77.5
"2019 - 2020","Colonial Heights City Public Schools",DIV,57.6
"2019 - 2020","Covington City Public Schools",DIV,64.5
"2019 - 2020","Craig County Public Schools",DIV,54.5
"2019 - 2020","Culpeper County Public Schools",DIV,47.3
"2019 - 2020","Cumberland County Public Schools",DIV,80.3
"2019 - 2020","Danville City Public Schools",DIV,100
"2019 - 2020","Dickenson County Public Schools",DIV,79.7
"2019 - 2020","Dinwiddie County Public Schools",DIV,51.9
"2019 - 2020","Essex County Public Schools",DIV,84.2
"2019 - 2020","Fairfax County Public Schools",DIV,30.9
"2019 - 2020","Falls Church City Public Schools",DIV,7.2
"2019 - 2020","Fauquier County Public Schools",DIV,27.4
"2019 - 2020","Floyd County Public Schools",DIV,47.2
"2019 - 2020","Fluvanna County Public Schools",DIV,36.7
"2019 - 2020","Franklin City Public Schools",DIV,100
"2019 - 2020","Franklin County Public Schools",DIV,56.3
"2019 - 2020","Frederick County Public Schools",DIV,35.1
"2019 - 2020","Fredericksburg City Public Schools",DIV,68.1
"2019 - 2020","Galax City Public Schools",DIV,64.2
"2019 - 2020","Giles County Public Schools",DIV,48.1
"2019 - 2020","Gloucester County Public Schools",DIV,40
"2019 - 2020","Goochland County Public Schools",DIV,26.2
"2019 - 2020","Grayson County Public Schools",DIV,67.4
"2019 - 2020","Greene County Public Schools",DIV,40.6
"2019 - 2020","Greensville County Public Schools",DIV,98.8
"2019 - 2020","Halifax County Public Schools",DIV,84.6
"2019 - 2020","Hampton City Public Schools",DIV,60.6
"2019 - 2020","Hanover County Public Schools",DIV,22.6
"2019 - 2020","Harrisonburg City Public Schools",DIV,73.4
"2019 - 2020","Henrico County Public Schools",DIV,44.9
"2019 - 2020","Henry County Public Schools",DIV,88.6
"2019 - 2020","Highland County Public Schools",DIV,58.7
"2019 - 2020","Hopewell City Public Schools",DIV,98.7
"2019 - 2020","Isle of Wight County Public Schools",DIV,34.7
"2019 - 2020","King George County Public Schools",DIV,30
"2019 - 2020","King William County Public Schools",DIV,29.5
"2019 - 2020","King and Queen County Public Schools",DIV,64.5
"2019 - 2020","Lancaster County Public Schools",DIV,64.6
"2019 - 2020","Lee County Public Schools",DIV,94.4
"2019 - 2020","Lexington City Public Schools",DIV,23.2
"2019 - 2020","Loudoun County Public Schools",DIV,18.7
"2019 - 2020","Louisa County Public Schools",DIV,45.4
"2019 - 2020","Lunenburg County Public Schools",DIV,78.6
"2019 - 2020","Lynchburg City Public Schools",DIV,82
"2019 - 2020","Madison County Public Schools",DIV,44.4
"2019 - 2020","Manassas City Public Schools",DIV,60.3
"2019 - 2020","Manassas Park City Public Schools",DIV,65.7
"2019 - 2020","Martinsville City Public Schools",DIV,100
"2019 - 2020","Mathews County Public Schools",DIV,45.6
"2019 - 2020","Mecklenburg County Public Schools",DIV,71.8
"2019 - 2020","Middlesex County Public Schools",DIV,51
"2019 - 2020","Montgomery County Public Schools",DIV,36.8
"2019 - 2020","Nelson County Public Schools",DIV,51.6
"2019 - 2020","New Kent County Public Schools",DIV,24.3
"2019 - 2020","Newport News City Public Schools",DIV,76.4
"2019 - 2020","Norfolk City Public Schools",DIV,73.3
"2019 - 2020","Northampton County Public Schools",DIV,78.5
"2019 - 2020","Northumberland County Public Schools",DIV,77.9
"2019 - 2020","Norton City Public Schools",DIV,92.8
"2019 - 2020","Nottoway County Public Schools",DIV,90.9
"2019 - 2020","Orange County Public Schools",DIV,46.9
"2019 - 2020","Page County Public Schools",DIV,55.8
"2019 - 2020","Patrick County Public Schools",DIV,69.1
"2019 - 2020","Petersburg City Public Schools",DIV,100
"2019 - 2020","Pittsylvania County Public Schools",DIV,61.6
"2019 - 2020","Poquoson City Public Schools",DIV,16.1
"2019 - 2020","Portsmouth City Public Schools",DIV,77.1
"2019 - 2020","Powhatan County Public Schools",DIV,20.1
"2019 - 2020","Prince Edward County Public Schools",DIV,85.9
"2019 - 2020","Prince George County Public Schools",DIV,45.8
"2019 - 2020","Prince William County Public Schools",DIV,42.8
"2019 - 2020","Pulaski County Public Schools",DIV,65.5
"2019 - 2020","Radford City Public Schools",DIV,44.8
"2019 - 2020","Rappahannock County Public Schools",DIV,37.4
"2019 - 2020","Richmond City Public Schools",DIV,100
"2019 - 2020","Richmond County Public Schools",DIV,74.2
"2019 - 2020","Roanoke City Public Schools",DIV,96.4
"2019 - 2020","Roanoke County Public Schools",DIV,29.9
"2019 - 2020","Rockbridge County Public Schools",DIV,46.7
"2019 - 2020","Rockingham County Public Schools",DIV,40.3
"2019 - 2020","Russell County Public Schools",DIV,64
"2019 - 2020","Salem City Public Schools",DIV,38.1
"2019 - 2020","Scott County Public Schools",DIV,65.4
"2019 - 2020","Shenandoah County Public Schools",DIV,47.3
"2019 - 2020","Smyth County Public Schools",DIV,76.9
"2019 - 2020","Southampton County Public Schools",DIV,44.6
"2019 - 2020","Spotsylvania County Public Schools",DIV,35.9
"2019 - 2020","Stafford County Public Schools",DIV,33.1
"2019 - 2020","Staunton City Public Schools",DIV,57.9
"2019 - 2020","Suffolk City Public Schools",DIV,49.6
"2019 - 2020","Surry County Public Schools",DIV,60.7
"2019 - 2020","Sussex County Public Schools",DIV,88
"2019 - 2020","Tazewell County Public Schools",DIV,64.8
"2019 - 2020","Virginia Beach City Public Schools",DIV,39.5
"2019 - 2020","Warren County Public Schools",DIV,46.6
"2019 - 2020","Washington County Public Schools",DIV,54.9
"2019 - 2020","Waynesboro City Public Schools",DIV,62.4
"2019 - 2020","West Point Public Schools",DIV,33.2
"2019 - 2020","Westmoreland County Public Schools",DIV,73.1
"2019 - 2020","Williamsburg-James City County Public Schools",DIV,32.9
"2019 - 2020","Winchester City Public Schools",DIV,67.6
"2019 - 2020","Wise County Public Schools",DIV,77.9
"2019 - 2020","Wythe County Public Schools",DIV,50.6
"2019 - 2020","York County Public Schools",DIV,23.1
"2020 - 2021","Accomack County Public Schools",DIV,91.1
"2020 - 2021","Albemarle County Public Schools",DIV,30
"2020 - 2021","Alexandria City Public Schools",DIV,59.7
"2020 - 2021","Alleghany County Public Schools",DIV,56.1
"2020 - 2021","Amelia County Public Schools",DIV,53.3
"2020 - 2021","Amherst County Public Schools",DIV,55.5
"2020 - 2021","Appomattox County Public Schools",DIV,48.7
"2020 - 2021","Arlington County Public Schools",DIV,29.1
"2020 - 2021","Augusta County Public Schools",DIV,39
"2020 - 2021","Bath County Public Schools",DIV,55.1
"2020 - 2021","Bedford County Public Schools",DIV,40.2
"2020 - 2021","Bland County Public Schools",DIV,50.5
"2020 - 2021","Botetourt County Public Schools",DIV,27.4
"2020 - 2021","Bristol City Public Schools",DIV,88.7
"2020 - 2021","Brunswick County Public Schools",DIV,97.7
"2020 - 2021","Buchanan County Public Schools",DIV,84.1
"2020 - 2021","Buckingham County Public Schools",DIV,75
"2020 - 2021","Buena Vista City Public Schools",DIV,67
"2020 - 2021","Campbell County Public Schools",DIV,49
"2020 - 2021","Caroline County Public Schools",DIV,52.2
"2020 - 2021","Carroll County Public Schools",DIV,59
"2020 - 2021","Charles City County Public Schools",DIV,55.8
"2020 - 2021","Charlotte County Public Schools",DIV,57.9
"2020 - 2021","Charlottesville City Public Schools",DIV,54.7
"2020 - 2021","Chesapeake City Public Schools",DIV,40.3
"2020 - 2021","Chesterfield County Public Schools",DIV,38.1
"2020 - 2021","Clarke County Public Schools",DIV,21.2
"2020 - 2021","Colonial Beach Public Schools",DIV,77.5
"2020 - 2021","Colonial Heights City Public Schools",DIV,57.6
"2020 - 2021","Covington City Public Schools",DIV,64.5
"2020 - 2021","Craig County Public Schools",DIV,54.5
"2020 - 2021","Culpeper County Public Schools",DIV,47.3
"2020 - 2021","Cumberland County Public Schools",DIV,80.3
"2020 - 2021","Danville City Public Schools",DIV,100
"2020 - 2021","Dickenson County Public Schools",DIV,79.7
"2020 - 2021","Dinwiddie County Public Schools",DIV,51.9
"2020 - 2021","Essex County Public Schools",DIV,84.2
"2020 - 2021","Fairfax County Public Schools",DIV,30.9
"2020 - 2021","Falls Church City Public Schools",DIV,7.2
"2020 - 2021","Fauquier County Public Schools",DIV,27.4
"2020 - 2021","Floyd County Public Schools",DIV,47.2
"2020 - 2021","Fluvanna County Public Schools",DIV,36.7
"2020 - 2021","Franklin City Public Schools",DIV,100
"2020 - 2021","Franklin County Public Schools",DIV,56.3
"2020 - 2021","Frederick County Public Schools",DIV,35.1
"2020 - 2021","Fredericksburg City Public Schools",DIV,68.1
"2020 - 2021","Galax City Public Schools",DIV,64.2
"2020 - 2021","Giles County Public Schools",DIV,48.1
"2020 - 2021","Gloucester County Public Schools",DIV,40
"2020 - 2021","Goochland County Public Schools",DIV,26.2
"2020 - 2021","Grayson County Public Schools",DIV,67.4
"2020 - 2021","Greene County Public Schools",DIV,40.6
"2020 - 2021","Greensville County Public Schools",DIV,98.8
"2020 - 2021","Halifax County Public Schools",DIV,84.6
"2020 - 2021","Hampton City Public Schools",DIV,60.6
"2020 - 2021","Hanover County Public Schools",DIV,22.6
"2020 - 2021","Harrisonburg City Public Schools",DIV,73.4
"2020 - 2021","Henrico County Public Schools",DIV,44.9
"2020 - 2021","Henry County Public Schools",DIV,88.6
"2020 - 2021","Highland County Public Schools",DIV,58.7
"2020 - 2021","Hopewell City Public Schools",DIV,98.7
"2020 - 2021","Isle of Wight County Public Schools",DIV,34.7
"2020 - 2021","King George County Public Schools",DIV,30
"2020 - 2021","King William County Public Schools",DIV,29.5
"2020 - 2021","King and Queen County Public Schools",DIV,64.5
"2020 - 2021","Lancaster County Public Schools",DIV,64.6
"2020 - 2021","Lee County Public Schools",DIV,94.4
"2020 - 2021","Lexington City Public Schools",DIV,23.2
"2020 - 2021","Loudoun County Public Schools",DIV,18.7
"2020 - 2021","Louisa County Public Schools",DIV,45.4
"2020 - 2021","Lunenburg County Public Schools",DIV,78.6
"2020 - 2021","Lynchburg City Public Schools",DIV,82
"2020 - 2021","Madison County Public Schools",DIV,44.4
"2020 - 2021","Manassas City Public Schools",DIV,60.3
"2020 - 2021","Manassas Park City Public Schools",DIV,65.7
"2020 - 2021","Martinsville City Public Schools",DIV,100
"2020 - 2021","Mathews County Public Schools",DIV,45.6
"2020 - 2021","Mecklenburg County Public Schools",DIV,71.8
"2020 - 2021","Middlesex County Public Schools",DIV,51
