"Career & Technical Education"
3/17/2022

Year,Level,Division,Description,"Year Count"
"2019 - 2020",DIV,"Norton City Public Schools","Total Credentials Earned",59
"2019 - 2020",DIV,"Nottoway County Public Schools","Armed Services Vocational Aptitude Battery Examination",3
"2019 - 2020",DIV,"Nottoway County Public Schools","CTE Completers",119
"2019 - 2020",DIV,"Nottoway County Public Schools","Industry Certification",183
"2019 - 2020",DIV,"Nottoway County Public Schools","State Licensures",1
"2019 - 2020",DIV,"Nottoway County Public Schools","Students Earning One or More Credentials",138
"2019 - 2020",DIV,"Nottoway County Public Schools","Total Credentials Earned",184
"2019 - 2020",DIV,"Orange County Public Schools","Armed Services Vocational Aptitude Battery Examination",31
"2019 - 2020",DIV,"Orange County Public Schools","CTE Completers",249
"2019 - 2020",DIV,"Orange County Public Schools","Industry Certification",227
"2019 - 2020",DIV,"Orange County Public Schools","State Licensures",38
"2019 - 2020",DIV,"Orange County Public Schools","Students Earning One or More Credentials",235
"2019 - 2020",DIV,"Orange County Public Schools","Total Credentials Earned",265
"2019 - 2020",DIV,"Page County Public Schools","CTE Completers",189
"2019 - 2020",DIV,"Page County Public Schools","Industry Certification",272
"2019 - 2020",DIV,"Page County Public Schools","NOCTI Assessments",12
"2019 - 2020",DIV,"Page County Public Schools","Students Earning One or More Credentials",240
"2019 - 2020",DIV,"Page County Public Schools","Total Credentials Earned",284
"2019 - 2020",DIV,"Patrick County Public Schools","Armed Services Vocational Aptitude Battery Examination",1
"2019 - 2020",DIV,"Patrick County Public Schools","CTE Completers",111
"2019 - 2020",DIV,"Patrick County Public Schools","Industry Certification",92
"2019 - 2020",DIV,"Patrick County Public Schools","Students Earning One or More Credentials",90
"2019 - 2020",DIV,"Patrick County Public Schools","Total Credentials Earned",92
"2019 - 2020",DIV,"Petersburg City Public Schools","CTE Completers",185
"2019 - 2020",DIV,"Petersburg City Public Schools","Industry Certification",7
"2019 - 2020",DIV,"Petersburg City Public Schools","Students Earning One or More Credentials",7
"2019 - 2020",DIV,"Petersburg City Public Schools","Total Credentials Earned",7
"2019 - 2020",DIV,"Pittsylvania County Public Schools","Armed Services Vocational Aptitude Battery Examination",7
"2019 - 2020",DIV,"Pittsylvania County Public Schools","CTE Completers",524
"2019 - 2020",DIV,"Pittsylvania County Public Schools","Industry Certification",434
"2019 - 2020",DIV,"Pittsylvania County Public Schools","NOCTI Assessments",9
"2019 - 2020",DIV,"Pittsylvania County Public Schools","State Licensures",54
"2019 - 2020",DIV,"Pittsylvania County Public Schools","Students Earning One or More Credentials",433
"2019 - 2020",DIV,"Pittsylvania County Public Schools","Total Credentials Earned",497
"2019 - 2020",DIV,"Poquoson City Public Schools","CTE Completers",70
"2019 - 2020",DIV,"Poquoson City Public Schools","Industry Certification",177
"2019 - 2020",DIV,"Poquoson City Public Schools","Students Earning One or More Credentials",172
"2019 - 2020",DIV,"Poquoson City Public Schools","Total Credentials Earned",177
"2019 - 2020",DIV,"Portsmouth City Public Schools","Armed Services Vocational Aptitude Battery Examination",121
"2019 - 2020",DIV,"Portsmouth City Public Schools","CTE Completers",518
"2019 - 2020",DIV,"Portsmouth City Public Schools","Industry Certification",253
"2019 - 2020",DIV,"Portsmouth City Public Schools","NOCTI Assessments",10
"2019 - 2020",DIV,"Portsmouth City Public Schools","Students Earning One or More Credentials",242
"2019 - 2020",DIV,"Portsmouth City Public Schools","Total Credentials Earned",263
"2019 - 2020",DIV,"Powhatan County Public Schools","CTE Completers",260
"2019 - 2020",DIV,"Powhatan County Public Schools","Industry Certification",361
"2019 - 2020",DIV,"Powhatan County Public Schools","Students Earning One or More Credentials",336
"2019 - 2020",DIV,"Powhatan County Public Schools","Total Credentials Earned",361
"2019 - 2020",DIV,"Prince Edward County Public Schools","CTE Completers",123
"2019 - 2020",DIV,"Prince Edward County Public Schools","Industry Certification",99
"2019 - 2020",DIV,"Prince Edward County Public Schools","Students Earning One or More Credentials",96
"2019 - 2020",DIV,"Prince Edward County Public Schools","Total Credentials Earned",99
"2019 - 2020",DIV,"Prince George County Public Schools","CTE Completers",185
"2019 - 2020",DIV,"Prince George County Public Schools","Industry Certification",24
"2019 - 2020",DIV,"Prince George County Public Schools","Students Earning One or More Credentials",10
"2019 - 2020",DIV,"Prince George County Public Schools","Total Credentials Earned",24
"2019 - 2020",DIV,"Prince William County Public Schools","CTE Completers",3528
"2019 - 2020",DIV,"Prince William County Public Schools","Industry Certification",1040
"2019 - 2020",DIV,"Prince William County Public Schools","Students Earning One or More Credentials",748
"2019 - 2020",DIV,"Prince William County Public Schools","Total Credentials Earned",1040
"2019 - 2020",DIV,"Pulaski County Public Schools","CTE Completers",194
"2019 - 2020",DIV,"Radford City Public Schools","CTE Completers",40
"2019 - 2020",DIV,"Rappahannock County Public Schools","CTE Completers",36
"2019 - 2020",DIV,"Richmond City Public Schools","CTE Completers",762
"2019 - 2020",DIV,"Richmond City Public Schools","Industry Certification",51
"2019 - 2020",DIV,"Richmond City Public Schools","Students Earning One or More Credentials",45
"2019 - 2020",DIV,"Richmond City Public Schools","Total Credentials Earned",51
"2019 - 2020",DIV,"Richmond County Public Schools","CTE Completers",92
"2019 - 2020",DIV,"Richmond County Public Schools","Industry Certification",71
"2019 - 2020",DIV,"Richmond County Public Schools","Students Earning One or More Credentials",40
"2019 - 2020",DIV,"Richmond County Public Schools","Total Credentials Earned",71
"2019 - 2020",DIV,"Roanoke City Public Schools","Armed Services Vocational Aptitude Battery Examination",12
"2019 - 2020",DIV,"Roanoke City Public Schools","CTE Completers",308
"2019 - 2020",DIV,"Roanoke City Public Schools","Industry Certification",338
"2019 - 2020",DIV,"Roanoke City Public Schools","Students Earning One or More Credentials",247
"2019 - 2020",DIV,"Roanoke City Public Schools","Total Credentials Earned",338
"2019 - 2020",DIV,"Roanoke County Public Schools","CTE Completers",699
"2019 - 2020",DIV,"Roanoke County Public Schools","Industry Certification",665
"2019 - 2020",DIV,"Roanoke County Public Schools","State Licensures",6
"2019 - 2020",DIV,"Roanoke County Public Schools","Students Earning One or More Credentials",601
"2019 - 2020",DIV,"Roanoke County Public Schools","Total Credentials Earned",671
"2019 - 2020",DIV,"Rockbridge County Public Schools","CTE Completers",131
"2019 - 2020",DIV,"Rockbridge County Public Schools","Industry Certification",155
"2019 - 2020",DIV,"Rockbridge County Public Schools","State Licensures",6
"2019 - 2020",DIV,"Rockbridge County Public Schools","Students Earning One or More Credentials",110
"2019 - 2020",DIV,"Rockbridge County Public Schools","Total Credentials Earned",161
"2019 - 2020",DIV,"Rockingham County Public Schools","CTE Completers",533
"2019 - 2020",DIV,"Rockingham County Public Schools","Industry Certification",360
"2019 - 2020",DIV,"Rockingham County Public Schools","State Licensures",11
"2019 - 2020",DIV,"Rockingham County Public Schools","Students Earning One or More Credentials",362
"2019 - 2020",DIV,"Rockingham County Public Schools","Total Credentials Earned",371
"2019 - 2020",DIV,"Russell County Public Schools","CTE Completers",241
"2019 - 2020",DIV,"Russell County Public Schools","Industry Certification",264
"2019 - 2020",DIV,"Russell County Public Schools","NOCTI Assessments",18
"2019 - 2020",DIV,"Russell County Public Schools","Students Earning One or More Credentials",222
"2019 - 2020",DIV,"Russell County Public Schools","Total Credentials Earned",282
"2019 - 2020",DIV,"Salem City Public Schools","CTE Completers",59
"2019 - 2020",DIV,"Salem City Public Schools","Industry Certification",361
"2019 - 2020",DIV,"Salem City Public Schools","Students Earning One or More Credentials",351
"2019 - 2020",DIV,"Salem City Public Schools","Total Credentials Earned",361
"2019 - 2020",DIV,"Scott County Public Schools","CTE Completers",208
"2019 - 2020",DIV,"Scott County Public Schools","Industry Certification",239
"2019 - 2020",DIV,"Scott County Public Schools","NOCTI Assessments",2
"2019 - 2020",DIV,"Scott County Public Schools","State Licensures",9
"2019 - 2020",DIV,"Scott County Public Schools","Students Earning One or More Credentials",213
"2019 - 2020",DIV,"Scott County Public Schools","Total Credentials Earned",250
"2019 - 2020",DIV,"Shenandoah County Public Schools","CTE Completers",278
"2019 - 2020",DIV,"Shenandoah County Public Schools","Industry Certification",328
"2019 - 2020",DIV,"Shenandoah County Public Schools","NOCTI Assessments",32
"2019 - 2020",DIV,"Shenandoah County Public Schools","Students Earning One or More Credentials",310
"2019 - 2020",DIV,"Shenandoah County Public Schools","Total Credentials Earned",360
"2019 - 2020",DIV,"Smyth County Public Schools","CTE Completers",185
"2019 - 2020",DIV,"Southampton County Public Schools","CTE Completers",120
"2019 - 2020",DIV,"Southampton County Public Schools","Industry Certification",114
"2019 - 2020",DIV,"Southampton County Public Schools","Students Earning One or More Credentials",101
"2019 - 2020",DIV,"Southampton County Public Schools","Total Credentials Earned",114
"2019 - 2020",DIV,"Spotsylvania County Public Schools","Armed Services Vocational Aptitude Battery Examination",93
"2019 - 2020",DIV,"Spotsylvania County Public Schools","CTE Completers",800
"2019 - 2020",DIV,"Spotsylvania County Public Schools","Industry Certification",2555
"2019 - 2020",DIV,"Spotsylvania County Public Schools","Students Earning One or More Credentials",2256
"2019 - 2020",DIV,"Spotsylvania County Public Schools","Total Credentials Earned",2555
"2019 - 2020",DIV,"Stafford County Public Schools","Armed Services Vocational Aptitude Battery Examination",68
"2019 - 2020",DIV,"Stafford County Public Schools","CTE Completers",1489
"2019 - 2020",DIV,"Stafford County Public Schools","Industry Certification",1021
"2019 - 2020",DIV,"Stafford County Public Schools","State Licensures",18
"2019 - 2020",DIV,"Stafford County Public Schools","Students Earning One or More Credentials",984
"2019 - 2020",DIV,"Stafford County Public Schools","Total Credentials Earned",1039
"2019 - 2020",DIV,"Staunton City Public Schools","CTE Completers",83
"2019 - 2020",DIV,"Staunton City Public Schools","Industry Certification",65
"2019 - 2020",DIV,"Staunton City Public Schools","NOCTI Assessments",1
"2019 - 2020",DIV,"Staunton City Public Schools","Students Earning One or More Credentials",66
"2019 - 2020",DIV,"Staunton City Public Schools","Total Credentials Earned",66
"2019 - 2020",DIV,"Suffolk City Public Schools","Armed Services Vocational Aptitude Battery Examination",24
"2019 - 2020",DIV,"Suffolk City Public Schools","CTE Completers",485
"2019 - 2020",DIV,"Suffolk City Public Schools","Industry Certification",119
"2019 - 2020",DIV,"Suffolk City Public Schools","NOCTI Assessments",35
"2019 - 2020",DIV,"Suffolk City Public Schools","Students Earning One or More Credentials",153
"2019 - 2020",DIV,"Suffolk City Public Schools","Total Credentials Earned",154
"2019 - 2020",DIV,"Surry County Public Schools","Armed Services Vocational Aptitude Battery Examination",2
"2019 - 2020",DIV,"Surry County Public Schools","CTE Completers",47
"2019 - 2020",DIV,"Surry County Public Schools","Industry Certification",28
"2019 - 2020",DIV,"Surry County Public Schools","Students Earning One or More Credentials",26
"2019 - 2020",DIV,"Surry County Public Schools","Total Credentials Earned",28
"2019 - 2020",DIV,"Sussex County Public Schools","CTE Completers",58
"2019 - 2020",DIV,"Sussex County Public Schools","Industry Certification",15
"2019 - 2020",DIV,"Sussex County Public Schools","Students Earning One or More Credentials",15
"2019 - 2020",DIV,"Sussex County Public Schools","Total Credentials Earned",15
"2019 - 2020",DIV,"Tazewell County Public Schools","CTE Completers",284
"2019 - 2020",DIV,"Tazewell County Public Schools","Industry Certification",64
"2019 - 2020",DIV,"Tazewell County Public Schools","Students Earning One or More Credentials",42
"2019 - 2020",DIV,"Tazewell County Public Schools","Total Credentials Earned",64
"2019 - 2020",DIV,"Virginia Beach City Public Schools","CTE Completers",2178
"2019 - 2020",DIV,"Virginia Beach City Public Schools","Industry Certification",5323
"2019 - 2020",DIV,"Virginia Beach City Public Schools","Students Earning One or More Credentials",4779
"2019 - 2020",DIV,"Virginia Beach City Public Schools","Total Credentials Earned",5323
"2019 - 2020",DIV,"Warren County Public Schools","CTE Completers",196
"2019 - 2020",DIV,"Warren County Public Schools","Industry Certification",366
"2019 - 2020",DIV,"Warren County Public Schools","State Licensures",8
"2019 - 2020",DIV,"Warren County Public Schools","Students Earning One or More Credentials",318
"2019 - 2020",DIV,"Warren County Public Schools","Total Credentials Earned",374
"2019 - 2020",DIV,"Washington County Public Schools","CTE Completers",424
"2019 - 2020",DIV,"Washington County Public Schools","Industry Certification",698
"2019 - 2020",DIV,"Washington County Public Schools","NOCTI Assessments",26
"2019 - 2020",DIV,"Washington County Public Schools","Students Earning One or More Credentials",445
"2019 - 2020",DIV,"Washington County Public Schools","Total Credentials Earned",724
"2019 - 2020",DIV,"Waynesboro City Public Schools","CTE Completers",87
"2019 - 2020",DIV,"Waynesboro City Public Schools","Industry Certification",76
"2019 - 2020",DIV,"Waynesboro City Public Schools","Students Earning One or More Credentials",71
"2019 - 2020",DIV,"Waynesboro City Public Schools","Total Credentials Earned",76
"2019 - 2020",DIV,"West Point Public Schools","CTE Completers",24
"2019 - 2020",DIV,"West Point Public Schools","Industry Certification",13
"2019 - 2020",DIV,"West Point Public Schools","Students Earning One or More Credentials",6
"2019 - 2020",DIV,"West Point Public Schools","Total Credentials Earned",13
"2019 - 2020",DIV,"Westmoreland County Public Schools","CTE Completers",55
"2019 - 2020",DIV,"Westmoreland County Public Schools","Industry Certification",14
"2019 - 2020",DIV,"Westmoreland County Public Schools","Students Earning One or More Credentials",14
"2019 - 2020",DIV,"Westmoreland County Public Schools","Total Credentials Earned",14
"2019 - 2020",DIV,"Williamsburg-James City County Public Schools","CTE Completers",200
"2019 - 2020",DIV,"Williamsburg-James City County Public Schools","Industry Certification",653
"2019 - 2020",DIV,"Williamsburg-James City County Public Schools","NOCTI Assessments",32
"2019 - 2020",DIV,"Williamsburg-James City County Public Schools","Students Earning One or More Credentials",644
"2019 - 2020",DIV,"Williamsburg-James City County Public Schools","Total Credentials Earned",685
"2019 - 2020",DIV,"Winchester City Public Schools","CTE Completers",119
"2019 - 2020",DIV,"Winchester City Public Schools","Industry Certification",315
"2019 - 2020",DIV,"Winchester City Public Schools","Students Earning One or More Credentials",186
"2019 - 2020",DIV,"Winchester City Public Schools","Total Credentials Earned",315
"2019 - 2020",DIV,"Wise County Public Schools","CTE Completers",299
"2019 - 2020",DIV,"Wise County Public Schools","Industry Certification",314
"2019 - 2020",DIV,"Wise County Public Schools","Students Earning One or More Credentials",298
"2019 - 2020",DIV,"Wise County Public Schools","Total Credentials Earned",314
"2019 - 2020",DIV,"Wythe County Public Schools","Armed Services Vocational Aptitude Battery Examination",5
"2019 - 2020",DIV,"Wythe County Public Schools","CTE Completers",249
"2019 - 2020",DIV,"Wythe County Public Schools","Industry Certification",339
"2019 - 2020",DIV,"Wythe County Public Schools","NOCTI Assessments",23
"2019 - 2020",DIV,"Wythe County Public Schools","State Licensures",21
"2019 - 2020",DIV,"Wythe County Public Schools","Students Earning One or More Credentials",270
"2019 - 2020",DIV,"Wythe County Public Schools","Total Credentials Earned",383
"2019 - 2020",DIV,"York County Public Schools","CTE Completers",352
"2019 - 2020",DIV,"York County Public Schools","Industry Certification",189
"2019 - 2020",DIV,"York County Public Schools","NOCTI Assessments",26
"2019 - 2020",DIV,"York County Public Schools","Students Earning One or More Credentials",155
"2019 - 2020",DIV,"York County Public Schools","Total Credentials Earned",215
"2020 - 2021",DIV,"Accomack County Public Schools","Armed Services Vocational Aptitude Battery Examination",11
"2020 - 2021",DIV,"Accomack County Public Schools","CTE Completers",208
"2020 - 2021",DIV,"Accomack County Public Schools","Industry Certification",514
"2020 - 2021",DIV,"Accomack County Public Schools","NOCTI Assessments",8
"2020 - 2021",DIV,"Accomack County Public Schools","Students Earning One or More Credentials",407
"2020 - 2021",DIV,"Accomack County Public Schools","Total Credentials Earned",522
"2020 - 2021",DIV,"Albemarle County Public Schools","CTE Completers",304
"2020 - 2021",DIV,"Alexandria City Public Schools","CTE Completers",313
"2020 - 2021",DIV,"Alexandria City Public Schools","Industry Certification",187
"2020 - 2021",DIV,"Alexandria City Public Schools","NOCTI Assessments",17
"2020 - 2021",DIV,"Alexandria City Public Schools","State Licensures",2
"2020 - 2021",DIV,"Alexandria City Public Schools","Students Earning One or More Credentials",206
"2020 - 2021",DIV,"Alexandria City Public Schools","Total Credentials Earned",206
"2020 - 2021",DIV,"Alleghany County Public Schools","CTE Completers",107
"2020 - 2021",DIV,"Alleghany County Public Schools","Industry Certification",81
"2020 - 2021",DIV,"Alleghany County Public Schools","NOCTI Assessments",7
"2020 - 2021",DIV,"Alleghany County Public Schools","State Licensures",8
"2020 - 2021",DIV,"Alleghany County Public Schools","Students Earning One or More Credentials",95
"2020 - 2021",DIV,"Alleghany County Public Schools","Total Credentials Earned",96
"2020 - 2021",DIV,"Amelia County Public Schools","CTE Completers",53
"2020 - 2021",DIV,"Amelia County Public Schools","Industry Certification",128
"2020 - 2021",DIV,"Amelia County Public Schools","Students Earning One or More Credentials",93
"2020 - 2021",DIV,"Amelia County Public Schools","Total Credentials Earned",128
"2020 - 2021",DIV,"Amherst County Public Schools","CTE Completers",90
"2020 - 2021",DIV,"Appomattox County Public Schools","CTE Completers",109
"2020 - 2021",DIV,"Appomattox County Public Schools","Industry Certification",149
"2020 - 2021",DIV,"Appomattox County Public Schools","State Licensures",14
"2020 - 2021",DIV,"Appomattox County Public Schools","Students Earning One or More Credentials",151
"2020 - 2021",DIV,"Appomattox County Public Schools","Total Credentials Earned",163
"2020 - 2021",DIV,"Arlington County Public Schools","CTE Completers",528
"2020 - 2021",DIV,"Arlington County Public Schools","Industry Certification",1523
"2020 - 2021",DIV,"Arlington County Public Schools","State Licensures",24
"2020 - 2021",DIV,"Arlington County Public Schools","Students Earning One or More Credentials",1307
"2020 - 2021",DIV,"Arlington County Public Schools","Total Credentials Earned",1547
"2020 - 2021",DIV,"Augusta County Public Schools","CTE Completers",479
"2020 - 2021",DIV,"Augusta County Public Schools","Industry Certification",955
"2020 - 2021",DIV,"Augusta County Public Schools","NOCTI Assessments",66
"2020 - 2021",DIV,"Augusta County Public Schools","State Licensures",20
"2020 - 2021",DIV,"Augusta County Public Schools","Students Earning One or More Credentials",901
"2020 - 2021",DIV,"Augusta County Public Schools","Total Credentials Earned",1041
"2020 - 2021",DIV,"Bath County Public Schools","CTE Completers",21
"2020 - 2021",DIV,"Bath County Public Schools","Industry Certification",1
"2020 - 2021",DIV,"Bath County Public Schools","NOCTI Assessments",6
"2020 - 2021",DIV,"Bath County Public Schools","Students Earning One or More Credentials",7
"2020 - 2021",DIV,"Bath County Public Schools","Total Credentials Earned",7
"2020 - 2021",DIV,"Bedford County Public Schools","CTE Completers",307
"2020 - 2021",DIV,"Bedford County Public Schools","Industry Certification",526
"2020 - 2021",DIV,"Bedford County Public Schools","NOCTI Assessments",11
"2020 - 2021",DIV,"Bedford County Public Schools","State Licensures",9
"2020 - 2021",DIV,"Bedford County Public Schools","Students Earning One or More Credentials",534
"2020 - 2021",DIV,"Bedford County Public Schools","Total Credentials Earned",546
"2020 - 2021",DIV,"Bland County Public Schools","CTE Completers",32
"2020 - 2021",DIV,"Bland County Public Schools","Industry Certification",78
"2020 - 2021",DIV,"Bland County Public Schools","Students Earning One or More Credentials",65
"2020 - 2021",DIV,"Bland County Public Schools","Total Credentials Earned",78
"2020 - 2021",DIV,"Botetourt County Public Schools","CTE Completers",251
"2020 - 2021",DIV,"Bristol City Public Schools","CTE Completers",69
"2020 - 2021",DIV,"Brunswick County Public Schools","CTE Completers",43
"2020 - 2021",DIV,"Brunswick County Public Schools","Industry Certification",142
"2020 - 2021",DIV,"Brunswick County Public Schools","State Licensures",4
"2020 - 2021",DIV,"Brunswick County Public Schools","Students Earning One or More Credentials",129
"2020 - 2021",DIV,"Brunswick County Public Schools","Total Credentials Earned",146
"2020 - 2021",DIV,"Buchanan County Public Schools","CTE Completers",194
"2020 - 2021",DIV,"Buchanan County Public Schools","Industry Certification",191
"2020 - 2021",DIV,"Buchanan County Public Schools","Students Earning One or More Credentials",176
"2020 - 2021",DIV,"Buchanan County Public Schools","Total Credentials Earned",191
"2020 - 2021",DIV,"Buckingham County Public Schools","CTE Completers",97
"2020 - 2021",DIV,"Buckingham County Public Schools","Industry Certification",26
"2020 - 2021",DIV,"Buckingham County Public Schools","State Licensures",5
"2020 - 2021",DIV,"Buckingham County Public Schools","Students Earning One or More Credentials",31
"2020 - 2021",DIV,"Buckingham County Public Schools","Total Credentials Earned",31
"2020 - 2021",DIV,"Buena Vista City Public Schools","CTE Completers",30
"2020 - 2021",DIV,"Campbell County Public Schools","CTE Completers",240
"2020 - 2021",DIV,"Campbell County Public Schools","Industry Certification",561
"2020 - 2021",DIV,"Campbell County Public Schools","NOCTI Assessments",15
"2020 - 2021",DIV,"Campbell County Public Schools","State Licensures",76
"2020 - 2021",DIV,"Campbell County Public Schools","Students Earning One or More Credentials",544
"2020 - 2021",DIV,"Campbell County Public Schools","Total Credentials Earned",652
"2020 - 2021",DIV,"Caroline County Public Schools","Armed Services Vocational Aptitude Battery Examination",14
"2020 - 2021",DIV,"Caroline County Public Schools","CTE Completers",137
"2020 - 2021",DIV,"Caroline County Public Schools","Industry Certification",191
"2020 - 2021",DIV,"Caroline County Public Schools","Students Earning One or More Credentials",181
"2020 - 2021",DIV,"Caroline County Public Schools","Total Credentials Earned",191
"2020 - 2021",DIV,"Carroll County Public Schools","CTE Completers",209
"2020 - 2021",DIV,"Charles City County Public Schools","CTE Completers",39
"2020 - 2021",DIV,"Charles City County Public Schools","Industry Certification",15
"2020 - 2021",DIV,"Charles City County Public Schools","Students Earning One or More Credentials",15
"2020 - 2021",DIV,"Charles City County Public Schools","Total Credentials Earned",15
"2020 - 2021",DIV,"Charlotte County Public Schools","CTE Completers",91
"2020 - 2021",DIV,"Charlotte County Public Schools","Industry Certification",173
"2020 - 2021",DIV,"Charlotte County Public Schools","State Licensures",5
"2020 - 2021",DIV,"Charlotte County Public Schools","Students Earning One or More Credentials",141
"2020 - 2021",DIV,"Charlotte County Public Schools","Total Credentials Earned",178
"2020 - 2021",DIV,"Charlottesville City Public Schools","CTE Completers",98
"2020 - 2021",DIV,"Chesapeake City Public Schools","CTE Completers",953
"2020 - 2021",DIV,"Chesapeake City Public Schools","Industry Certification",2541
"2020 - 2021",DIV,"Chesapeake City Public Schools","NOCTI Assessments",43
"2020 - 2021",DIV,"Chesapeake City Public Schools","State Licensures",47
"2020 - 2021",DIV,"Chesapeake City Public Schools","Students Earning One or More Credentials",2434
"2020 - 2021",DIV,"Chesapeake City Public Schools","Total Credentials Earned",2631
"2020 - 2021",DIV,"Chesterfield County Public Schools","CTE Completers",1747
"2020 - 2021",DIV,"Chesterfield County Public Schools","Industry Certification",3747
"2020 - 2021",DIV,"Chesterfield County Public Schools","NOCTI Assessments",118
"2020 - 2021",DIV,"Chesterfield County Public Schools","State Licensures",35
"2020 - 2021",DIV,"Chesterfield County Public Schools","Students Earning One or More Credentials",3763
"2020 - 2021",DIV,"Chesterfield County Public Schools","Total Credentials Earned",3900
"2020 - 2021",DIV,"Clarke County Public Schools","CTE Completers",93
"2020 - 2021",DIV,"Clarke County Public Schools","Industry Certification",191
"2020 - 2021",DIV,"Clarke County Public Schools","State Licensures",13
"2020 - 2021",DIV,"Clarke County Public Schools","Students Earning One or More Credentials",190
"2020 - 2021",DIV,"Clarke County Public Schools","Total Credentials Earned",204
"2020 - 2021",DIV,"Colonial Beach Public Schools","CTE Completers",19
"2020 - 2021",DIV,"Colonial Beach Public Schools","Industry Certification",44
"2020 - 2021",DIV,"Colonial Beach Public Schools","State Licensures",2
"2020 - 2021",DIV,"Colonial Beach Public Schools","Students Earning One or More Credentials",45
"2020 - 2021",DIV,"Colonial Beach Public Schools","Total Credentials Earned",46
"2020 - 2021",DIV,"Colonial Heights City Public Schools","CTE Completers",104
"2020 - 2021",DIV,"Colonial Heights City Public Schools","Industry Certification",147
"2020 - 2021",DIV,"Colonial Heights City Public Schools","NOCTI Assessments",22
"2020 - 2021",DIV,"Colonial Heights City Public Schools","Students Earning One or More Credentials",133
"2020 - 2021",DIV,"Colonial Heights City Public Schools","Total Credentials Earned",169
"2020 - 2021",DIV,"Covington City Public Schools","CTE Completers",14
"2020 - 2021",DIV,"Craig County Public Schools","CTE Completers",16
"2020 - 2021",DIV,"Craig County Public Schools","Industry Certification",17
"2020 - 2021",DIV,"Craig County Public Schools","State Licensures",3
"2020 - 2021",DIV,"Craig County Public Schools","Students Earning One or More Credentials",20
"2020 - 2021",DIV,"Craig County Public Schools","Total Credentials Earned",20
"2020 - 2021",DIV,"Culpeper County Public Schools","Armed Services Vocational Aptitude Battery Examination",13
"2020 - 2021",DIV,"Culpeper County Public Schools","CTE Completers",363
"2020 - 2021",DIV,"Culpeper County Public Schools","Industry Certification",516
"2020 - 2021",DIV,"Culpeper County Public Schools","NOCTI Assessments",24
"2020 - 2021",DIV,"Culpeper County Public Schools","Students Earning One or More Credentials",510
"2020 - 2021",DIV,"Culpeper County Public Schools","Total Credentials Earned",540
"2020 - 2021",DIV,"Cumberland County Public Schools","CTE Completers",53
"2020 - 2021",DIV,"Danville City Public Schools","Armed Services Vocational Aptitude Battery Examination",1
"2020 - 2021",DIV,"Danville City Public Schools","CTE Completers",140
"2020 - 2021",DIV,"Danville City Public Schools","Industry Certification",190
"2020 - 2021",DIV,"Danville City Public Schools","Students Earning One or More Credentials",171
"2020 - 2021",DIV,"Danville City Public Schools","Total Credentials Earned",190
"2020 - 2021",DIV,"Department of Juvenile Justice","CTE Completers",7
"2020 - 2021",DIV,"Department of Juvenile Justice","Industry Certification",10
"2020 - 2021",DIV,"Department of Juvenile Justice","Students Earning One or More Credentials",10
"2020 - 2021",DIV,"Department of Juvenile Justice","Total Credentials Earned",10
"2020 - 2021",DIV,"Dickenson County Public Schools","CTE Completers",95
"2020 - 2021",DIV,"Dickenson County Public Schools","Industry Certification",45
"2020 - 2021",DIV,"Dickenson County Public Schools","NOCTI Assessments",5
"2020 - 2021",DIV,"Dickenson County Public Schools","State Licensures",14
"2020 - 2021",DIV,"Dickenson County Public Schools","Students Earning One or More Credentials",64
"2020 - 2021",DIV,"Dickenson County Public Schools","Total Credentials Earned",64
"2020 - 2021",DIV,"Dinwiddie County Public Schools","Armed Services Vocational Aptitude Battery Examination",7
"2020 - 2021",DIV,"Dinwiddie County Public Schools","CTE Completers",196
"2020 - 2021",DIV,"Dinwiddie County Public Schools","Industry Certification",231
"2020 - 2021",DIV,"Dinwiddie County Public Schools","NOCTI Assessments",25
"2020 - 2021",DIV,"Dinwiddie County Public Schools","State Licensures",9
"2020 - 2021",DIV,"Dinwiddie County Public Schools","Students Earning One or More Credentials",233
"2020 - 2021",DIV,"Dinwiddie County Public Schools","Total Credentials Earned",265
"2020 - 2021",DIV,"Essex County Public Schools","CTE Completers",83
"2020 - 2021",DIV,"Fairfax County Public Schools","CTE Completers",4807
"2020 - 2021",DIV,"Fairfax County Public Schools","Industry Certification",3068
"2020 - 2021",DIV,"Fairfax County Public Schools","State Licensures",42
"2020 - 2021",DIV,"Fairfax County Public Schools","Students Earning One or More Credentials",2937
"2020 - 2021",DIV,"Fairfax County Public Schools","Total Credentials Earned",3110
"2020 - 2021",DIV,"Falls Church City Public Schools","CTE Completers",83
"2020 - 2021",DIV,"Fauquier County Public Schools","CTE Completers",515
"2020 - 2021",DIV,"Fauquier County Public Schools","Industry Certification",717
"2020 - 2021",DIV,"Fauquier County Public Schools","State Licensures",5
"2020 - 2021",DIV,"Fauquier County Public Schools","Students Earning One or More Credentials",706
"2020 - 2021",DIV,"Fauquier County Public Schools","Total Credentials Earned",722
"2020 - 2021",DIV,"Floyd County Public Schools","CTE Completers",76
"2020 - 2021",DIV,"Fluvanna County Public Schools","CTE Completers",131
"2020 - 2021",DIV,"Fluvanna County Public Schools","Industry Certification",330
"2020 - 2021",DIV,"Fluvanna County Public Schools","NOCTI Assessments",11
"2020 - 2021",DIV,"Fluvanna County Public Schools","State Licensures",8
"2020 - 2021",DIV,"Fluvanna County Public Schools","Students Earning One or More Credentials",322
