,Division Number,Division,Pass Rate,Percent of Inexperienced Teachers,Percent of Out-of-Field Teachers,Total Per-Pupil Expenditures,Total Expenditures,Per-Pupil Federal Funds,Per-Pupil State Funds,Average 2016-2017 Salary,Student/Teacher Ratio,Division Locale,Operational Public Schools,Total Students,IEP Students,LEP+ELL Students
37,29.0,FAIRFAX COUNTY,80.69,3.8,3.2,15373.0,2880459612.0,448.0,14924.0,67501.09422110551,14.45,Suburb,222.0,187797.0,27177.0,35651
38,109.0,FALLS CHURCH CITY,91.35,1.0,2.0,18786.0,49075163.0,211.0,18576.0,73325.436,14.47,Suburb,5.0,2620.0,348.0,161
39,30.0,FAUQUIER COUNTY,76.92,0.0,10.3,12510.0,139219287.0,383.0,12127.0,54553.408421052634,13.1,Suburb,20.0,11186.0,1645.0,686
40,31.0,FLOYD COUNTY,77.21,2.3,8.5,10702.0,20791430.0,566.0,10137.0,42895.6,15.96,Rural,5.0,1966.0,265.0,35
41,32.0,FLUVANNA COUNTY,75.04,1.7,0.3,10352.0,36820007.0,385.0,9968.0,53044.024,15.37,Rural,5.0,3590.0,441.0,56
42,135.0,FRANKLIN CITY,68.66,10.8,16.7,12550.0,13241033.0,1402.0,11147.0,46777.666666666664,12.6,Town,3.0,1075.0,132.0,13
43,33.0,FRANKLIN COUNTY,79.45,2.6,1.7,11421.0,79535717.0,910.0,10511.0,45680.170625000006,13.05,Town,16.0,7062.0,1190.0,141
44,34.0,FREDERICK COUNTY,73.7,3.2,1.5,11979.0,163116395.0,375.0,11604.0,53067.91833333333,14.15,Rural,18.0,13627.0,1793.0,714
45,110.0,FREDERICKSBURG CITY,63.44,7.8,1.0,12667.0,46792893.0,896.0,11770.0,54998.8,14.61,Suburb,5.0,3710.0,431.0,466
46,111.0,GALAX CITY,77.95,10.3,2.6,10374.0,13761681.0,798.0,9575.0,41940.333333333336,13.08,Town,3.0,1321.0,173.0,169
47,35.0,GILES COUNTY,76.25,5.0,1.4,10249.0,25056968.0,607.0,9641.0,39547.0,13.91,Town,6.0,2445.0,408.0,5
48,36.0,GLOUCESTER COUNTY,81.38,3.1,0.0,10746.0,57569368.0,453.0,10292.0,48978.86125,14.66,Rural,9.0,5408.0,718.0,57
49,37.0,GOOCHLAND COUNTY,83.02,5.5,2.8,11849.0,31140142.0,462.0,11387.0,48313.0,13.46,Rural,5.0,2676.0,361.0,54
50,38.0,GRAYSON COUNTY,82.45,5.7,3.4,11819.0,18177976.0,967.0,10853.0,41328.857142857145,13.01,Rural,7.0,1542.0,272.0,16
51,39.0,GREENE COUNTY,70.35,3.6,4.5,11132.0,33181370.0,473.0,10658.0,49583.496,15.66,Town,7.0,3001.0,437.0,108
52,40.0,GREENSVILLE COUNTY,57.27,6.1,7.7,11624.0,25845127.0,1077.0,10546.0,45485.885,11.98,Town,4.0,2243.0,328.0,42
53,41.0,HALIFAX COUNTY,73.46,5.0,8.7,10816.0,53007317.0,767.0,10050.0,43533.0,11.31,Town,11.0,4960.0,921.0,49
54,112.0,HAMPTON CITY,74.27,9.8,0.7,10736.0,209563455.0,703.0,10032.0,48058.555666666674,15.17,City,33.0,19589.0,2668.0,319
55,42.0,HANOVER COUNTY,83.88,2.6,1.4,10141.0,178426911.0,347.0,9794.0,50118.965217391305,14.7,Suburb,25.0,17726.0,2578.0,254
56,113.0,HARRISONBURG CITY,62.44,1.3,2.2,11839.0,75829840.0,506.0,11334.0,48478.875,13.77,City,10.0,6437.0,699.0,2025
57,43.0,HENRICO COUNTY,75.74,3.6,0.5,9864.0,504571102.0,483.0,9382.0,49109.86567164179,17.19,Suburb,81.0,51523.0,6796.0,3312
58,44.0,HENRY COUNTY,75.32,7.8,1.9,9414.0,69835859.0,788.0,8627.0,43856.211428571434,15.56,Rural,13.0,7455.0,1123.0,485
59,45.0,HIGHLAND COUNTY,93.9,6.5,22.6,18851.0,3860443.0,0.0,18851.0,52062.11,8.36,Rural,2.0,205.0,35.0,3
60,114.0,HOPEWELL CITY,66.31,6.6,7.2,11451.0,48655064.0,1107.0,10344.0,49070.71166666667,15.42,Suburb,7.0,4372.0,684.0,153
61,46.0,ISLE OF WIGHT COUNTY,80.22,2.5,4.8,10313.0,56769509.0,401.0,9913.0,54353.77777777778,15.02,Rural,9.0,5531.0,694.0,39
62,48.0,KING GEORGE COUNTY,79.58,3.8,6.5,10033.0,44347536.0,308.0,9725.0,50337.4,15.64,Town,5.0,4477.0,595.0,36
63,50.0,KING WILLIAM COUNTY,73.27,0.0,2.9,11265.0,24706470.0,418.0,10847.0,49870.75,14.77,Rural,4.0,2227.0,298.0,23
64,49.0,KING AND QUEEN COUNTY,78.66,3.3,4.4,12962.0,10373771.0,837.0,12125.0,47320.70333333333,14.01,Rural,3.0,829.0,126.0,10
65,51.0,LANCASTER COUNTY,68.29,9.4,2.4,13092.0,14736073.0,766.0,12325.0,44561.0,12.17,Rural,3.0,1136.0,156.0,5
66,52.0,LEE COUNTY,77.98,4.7,10.0,11188.0,36135268.0,1518.0,9670.0,41156.2,12.16,Rural,11.0,3254.0,541.0,7
67,137.0,LEXINGTON CITY,86.86,2.3,2.3,10594.0,5456705.0,444.0,10150.0,50675.0,13.7,Town,2.0,522.0,58.0,20
68,53.0,LOUDOUN COUNTY,84.21,3.1,2.3,14898.0,1224310437.0,219.0,14680.0,65688.19264367817,14.16,Suburb,92.0,81906.0,9296.0,9085
69,54.0,LOUISA COUNTY,76.93,5.2,1.8,11395.0,55666347.0,568.0,10826.0,50588.5,13.38,Rural,6.0,4906.0,864.0,105
70,55.0,LUNENBURG COUNTY,71.86,5.6,7.0,,,,,44889.8575,13.66,Rural,4.0,1551.0,202.0,90
71,115.0,LYNCHBURG CITY,69.12,5.9,2.4,11639.0,95051900.0,953.0,10686.0,44604.775,13.93,City,18.0,8263.0,1316.0,177
72,56.0,MADISON COUNTY,70.2,4.6,9.2,11554.0,19688001.0,526.0,11028.0,46970.75,13.57,Rural,4.0,1690.0,162.0,15
73,143.0,MANASSAS CITY,64.32,6.2,4.3,12751.0,98045212.0,464.0,12287.0,63271.25,15.32,Suburb,11.0,7723.0,969.0,2386
