,Division,Percent of Inexperienced Teachers,Percent of Out-of-Field Teachers,Total Per-Pupil Expenditures,Total Expenditures,Per-Pupil Federal Funds,Per-Pupil State Funds,Average 2016-2017 Salary
64,King William County Public Schools,0.0,2.9,11265.0,24706470.0,418.0,10847.0,49870.75
65,King and Queen County Public Schools,3.3,4.4,12962.0,10373771.0,837.0,12125.0,47320.70333333333
66,Lancaster County Public Schools,9.4,2.4,13092.0,14736073.0,766.0,12325.0,44561.0
67,Lee County Public Schools,4.7,10.0,11188.0,36135268.0,1518.0,9670.0,41156.2
68,Lexington City Public Schools,2.3,2.3,10594.0,5456705.0,444.0,10150.0,50675.0
69,Loudoun County Public Schools,3.1,2.3,14898.0,1224310437.0,219.0,14680.0,65688.19264367817
70,Louisa County Public Schools,5.2,1.8,11395.0,55666347.0,568.0,10826.0,50588.5
71,Lunenburg County Public Schools,5.6,7.0,,,,,44889.8575
72,Lynchburg City Public Schools,5.9,2.4,11639.0,95051900.0,953.0,10686.0,44604.775
73,Madison County Public Schools,4.6,9.2,11554.0,19688001.0,526.0,11028.0,46970.75
74,Manassas City Public Schools,6.2,4.3,12751.0,98045212.0,464.0,12287.0,63271.25
75,Manassas Park City Public Schools,7.6,1.4,10153.0,37718517.0,312.0,9841.0,57994.34
76,Martinsville City Public Schools,10.4,5.8,12405.0,24195705.0,1065.0,11340.0,45154.4
77,Mathews County Public Schools,4.2,3.2,12267.0,12991448.0,490.0,11777.0,46446.159999999996
78,Mecklenburg County Public Schools,3.4,7.7,11982.0,50097077.0,717.0,11266.0,43637.125
79,Middlesex County Public Schools,0.9,9.3,12494.0,15045184.0,712.0,11782.0,45823.0
80,Montgomery County Public Schools,5.0,0.9,10644.0,105885823.0,436.0,10209.0,47064.563157894736
81,Nelson County Public Schools,3.7,0.0,13760.0,24304363.0,575.0,13185.0,51017.0
82,New Kent County Public Schools,3.7,0.0,9534.0,31263907.0,317.0,9217.0,48368.25
83,Newport News City Public Schools,3.5,4.0,10794.0,307412391.0,773.0,10022.0,51012.03738095237
84,Norfolk City Public Schools,4.5,4.4,10540.0,314607423.0,723.0,9816.0,51026.25106382979
85,Northampton County Public Schools,14.6,1.3,11924.0,18753412.0,958.0,10965.0,41652.5
86,Northumberland County Public Schools,5.4,3.1,12637.0,16662335.0,802.0,11835.0,48463.666666666664
87,Norton City Public Schools,6.8,11.9,8547.0,7118123.0,0.0,8547.0,41918.93
88,Nottoway County Public Schools,2.9,5.2,10088.0,20397023.0,795.0,9292.0,48634.736666666664
89,Orange County Public Schools,3.0,3.9,10167.0,50972653.0,784.0,9383.0,48490.47
90,Page County Public Schools,11.8,4.2,9964.0,33525541.0,569.0,9395.0,47296.50222222222
91,Patrick County Public Schools,1.9,4.3,9968.0,25496466.0,580.0,9388.0,42556.31714285714
92,Petersburg City Public Schools,10.4,10.1,11913.0,49058770.0,1830.0,10083.0,50218.28571428572
93,Pittsylvania County Public Schools,5.6,1.7,9886.0,86644286.0,588.0,9298.0,43608.5
