"Breakfast Participation of Eligible Students"
3/17/2022

Year,Division,Level,Percent
"2019 - 2020","Northumberland County Public Schools",DIV,39.9
"2019 - 2020","Norton City Public Schools",DIV,49.5
"2019 - 2020","Nottoway County Public Schools",DIV,40.1
"2019 - 2020","Orange County Public Schools",DIV,44.1
"2019 - 2020","Page County Public Schools",DIV,36.2
"2019 - 2020","Patrick County Public Schools",DIV,70.7
"2019 - 2020","Petersburg City Public Schools",DIV,55.2
"2019 - 2020","Pittsylvania County Public Schools",DIV,57.9
"2019 - 2020","Poquoson City Public Schools",DIV,26.4
"2019 - 2020","Portsmouth City Public Schools",DIV,62.1
"2019 - 2020","Powhatan County Public Schools",DIV,19.7
"2019 - 2020","Prince Edward County Public Schools",DIV,66.1
"2019 - 2020","Prince George County Public Schools",DIV,51.7
"2019 - 2020","Prince William County Public Schools",DIV,43.4
"2019 - 2020","Pulaski County Public Schools",DIV,59.5
"2019 - 2020","Radford City Public Schools",DIV,45.4
"2019 - 2020","Rappahannock County Public Schools",DIV,52.4
"2019 - 2020","Richmond City Public Schools",DIV,58.5
"2019 - 2020","Richmond County Public Schools",DIV,38.7
"2019 - 2020","Roanoke City Public Schools",DIV,47.4
"2019 - 2020","Roanoke County Public Schools",DIV,37.2
"2019 - 2020","Rockbridge County Public Schools",DIV,38
"2019 - 2020","Rockingham County Public Schools",DIV,43.8
"2019 - 2020","Russell County Public Schools",DIV,40.2
"2019 - 2020","Salem City Public Schools",DIV,39.1
"2019 - 2020","Scott County Public Schools",DIV,46.9
"2019 - 2020","Shenandoah County Public Schools",DIV,33.8
"2019 - 2020","Smyth County Public Schools",DIV,48
"2019 - 2020","Southampton County Public Schools",DIV,58.9
"2019 - 2020","Spotsylvania County Public Schools",DIV,42.7
"2019 - 2020","Stafford County Public Schools",DIV,47.2
"2019 - 2020","Staunton City Public Schools",DIV,65.1
"2019 - 2020","Suffolk City Public Schools",DIV,61.5
"2019 - 2020","Surry County Public Schools",DIV,51.8
"2019 - 2020","Sussex County Public Schools",DIV,68.4
"2019 - 2020","Tazewell County Public Schools",DIV,45.8
"2019 - 2020","Virginia Beach City Public Schools",DIV,48.2
"2019 - 2020","Warren County Public Schools",DIV,50.7
"2019 - 2020","Washington County Public Schools",DIV,48.3
"2019 - 2020","Waynesboro City Public Schools",DIV,58.5
"2019 - 2020","West Point Public Schools",DIV,61.3
"2019 - 2020","Westmoreland County Public Schools",DIV,58.3
"2019 - 2020","Williamsburg-James City County Public Schools",DIV,34.1
"2019 - 2020","Winchester City Public Schools",DIV,47.7
"2019 - 2020","Wise County Public Schools",DIV,42.2
"2019 - 2020","Wythe County Public Schools",DIV,51.2
"2019 - 2020","York County Public Schools",DIV,24
"2020 - 2021","Accomack County Public Schools",DIV,59.5
"2020 - 2021","Albemarle County Public Schools",DIV,39.1
"2020 - 2021","Alexandria City Public Schools",DIV,46
"2020 - 2021","Alleghany County Public Schools",DIV,37.2
"2020 - 2021","Amelia County Public Schools",DIV,43.3
"2020 - 2021","Amherst County Public Schools",DIV,50.1
"2020 - 2021","Appomattox County Public Schools",DIV,52.3
"2020 - 2021","Arlington County Public Schools",DIV,30.3
"2020 - 2021","Augusta County Public Schools",DIV,58.9
"2020 - 2021","Bath County Public Schools",DIV,64.7
"2020 - 2021","Bedford County Public Schools",DIV,42.1
"2020 - 2021","Bland County Public Schools",DIV,48.5
"2020 - 2021","Botetourt County Public Schools",DIV,30.7
"2020 - 2021","Bristol City Public Schools",DIV,53.4
"2020 - 2021","Brunswick County Public Schools",DIV,48.9
"2020 - 2021","Buchanan County Public Schools",DIV,57.6
"2020 - 2021","Buckingham County Public Schools",DIV,56.6
"2020 - 2021","Buena Vista City Public Schools",DIV,50.3
"2020 - 2021","Campbell County Public Schools",DIV,43.1
"2020 - 2021","Caroline County Public Schools",DIV,44
"2020 - 2021","Carroll County Public Schools",DIV,52.4
"2020 - 2021","Charles City County Public Schools",DIV,57.3
"2020 - 2021","Charlotte County Public Schools",DIV,51.8
"2020 - 2021","Charlottesville City Public Schools",DIV,45.1
"2020 - 2021","Chesapeake City Public Schools",DIV,42.6
"2020 - 2021","Chesterfield County Public Schools",DIV,40.7
"2020 - 2021","Clarke County Public Schools",DIV,37
"2020 - 2021","Colonial Beach Public Schools",DIV,49.8
"2020 - 2021","Colonial Heights City Public Schools",DIV,28.7
"2020 - 2021","Covington City Public Schools",DIV,28.6
"2020 - 2021","Craig County Public Schools",DIV,57.7
"2020 - 2021","Culpeper County Public Schools",DIV,31.1
"2020 - 2021","Cumberland County Public Schools",DIV,62.6
"2020 - 2021","Danville City Public Schools",DIV,63.9
"2020 - 2021","Dickenson County Public Schools",DIV,64.4
"2020 - 2021","Dinwiddie County Public Schools",DIV,47.8
"2020 - 2021","Essex County Public Schools",DIV,53.7
"2020 - 2021","Fairfax County Public Schools",DIV,38.5
"2020 - 2021","Falls Church City Public Schools",DIV,47.7
"2020 - 2021","Fauquier County Public Schools",DIV,40.5
"2020 - 2021","Floyd County Public Schools",DIV,51.6
"2020 - 2021","Fluvanna County Public Schools",DIV,32.5
"2020 - 2021","Franklin City Public Schools",DIV,79.9
"2020 - 2021","Franklin County Public Schools",DIV,53.3
"2020 - 2021","Frederick County Public Schools",DIV,32.4
"2020 - 2021","Fredericksburg City Public Schools",DIV,48.5
"2020 - 2021","Galax City Public Schools",DIV,39.8
"2020 - 2021","Giles County Public Schools",DIV,48.4
"2020 - 2021","Gloucester County Public Schools",DIV,37.6
"2020 - 2021","Goochland County Public Schools",DIV,35.4
"2020 - 2021","Grayson County Public Schools",DIV,50.7
"2020 - 2021","Greene County Public Schools",DIV,36.7
"2020 - 2021","Greensville County Public Schools",DIV,55.9
"2020 - 2021","Halifax County Public Schools",DIV,41.6
"2020 - 2021","Hampton City Public Schools",DIV,52.2
"2020 - 2021","Hanover County Public Schools",DIV,29.1
"2020 - 2021","Harrisonburg City Public Schools",DIV,75.3
"2020 - 2021","Henrico County Public Schools",DIV,44.7
"2020 - 2021","Henry County Public Schools",DIV,50.2
"2020 - 2021","Highland County Public Schools",DIV,63.7
"2020 - 2021","Hopewell City Public Schools",DIV,49.4
"2020 - 2021","Isle of Wight County Public Schools",DIV,43.5
"2020 - 2021","King George County Public Schools",DIV,40.8
"2020 - 2021","King William County Public Schools",DIV,48.3
"2020 - 2021","King and Queen County Public Schools",DIV,52.2
"2020 - 2021","Lancaster County Public Schools",DIV,46.5
"2020 - 2021","Lee County Public Schools",DIV,43.3
"2020 - 2021","Lexington City Public Schools",DIV,22.1
"2020 - 2021","Loudoun County Public Schools",DIV,33.2
"2020 - 2021","Louisa County Public Schools",DIV,41.5
"2020 - 2021","Lunenburg County Public Schools",DIV,44.9
"2020 - 2021","Lynchburg City Public Schools",DIV,47.9
"2020 - 2021","Madison County Public Schools",DIV,39.9
"2020 - 2021","Manassas City Public Schools",DIV,30
"2020 - 2021","Manassas Park City Public Schools",DIV,35
"2020 - 2021","Martinsville City Public Schools",DIV,55.3
"2020 - 2021","Mathews County Public Schools",DIV,47.9
"2020 - 2021","Mecklenburg County Public Schools",DIV,46.8
"2020 - 2021","Middlesex County Public Schools",DIV,43.2
"2020 - 2021","Montgomery County Public Schools",DIV,44.9
"2020 - 2021","Nelson County Public Schools",DIV,40.8
"2020 - 2021","New Kent County Public Schools",DIV,31.8
"2020 - 2021","Newport News City Public Schools",DIV,59.6
"2020 - 2021","Norfolk City Public Schools",DIV,52.8
"2020 - 2021","Northampton County Public Schools",DIV,51.5
"2020 - 2021","Northumberland County Public Schools",DIV,39.9
"2020 - 2021","Norton City Public Schools",DIV,49.5
"2020 - 2021","Nottoway County Public Schools",DIV,40.1
"2020 - 2021","Orange County Public Schools",DIV,44.1
"2020 - 2021","Page County Public Schools",DIV,36.2
"2020 - 2021","Patrick County Public Schools",DIV,70.7
"2020 - 2021","Petersburg City Public Schools",DIV,55.2
"2020 - 2021","Pittsylvania County Public Schools",DIV,57.9
"2020 - 2021","Poquoson City Public Schools",DIV,26.4
"2020 - 2021","Portsmouth City Public Schools",DIV,62.1
"2020 - 2021","Powhatan County Public Schools",DIV,19.7
"2020 - 2021","Prince Edward County Public Schools",DIV,66.1
"2020 - 2021","Prince George County Public Schools",DIV,51.7
"2020 - 2021","Prince William County Public Schools",DIV,43.4
"2020 - 2021","Pulaski County Public Schools",DIV,59.5
"2020 - 2021","Radford City Public Schools",DIV,45.4
"2020 - 2021","Rappahannock County Public Schools",DIV,52.4
"2020 - 2021","Richmond City Public Schools",DIV,58.5
"2020 - 2021","Richmond County Public Schools",DIV,38.7
"2020 - 2021","Roanoke City Public Schools",DIV,47.4
"2020 - 2021","Roanoke County Public Schools",DIV,37.2
"2020 - 2021","Rockbridge County Public Schools",DIV,38
"2020 - 2021","Rockingham County Public Schools",DIV,43.8
"2020 - 2021","Russell County Public Schools",DIV,40.2
"2020 - 2021","Salem City Public Schools",DIV,39.1
"2020 - 2021","Scott County Public Schools",DIV,46.9
"2020 - 2021","Shenandoah County Public Schools",DIV,33.8
"2020 - 2021","Smyth County Public Schools",DIV,48
"2020 - 2021","Southampton County Public Schools",DIV,58.9
"2020 - 2021","Spotsylvania County Public Schools",DIV,42.7
"2020 - 2021","Stafford County Public Schools",DIV,47.2
"2020 - 2021","Staunton City Public Schools",DIV,65.1
"2020 - 2021","Suffolk City Public Schools",DIV,61.5
"2020 - 2021","Surry County Public Schools",DIV,51.8
"2020 - 2021","Sussex County Public Schools",DIV,68.4
"2020 - 2021","Tazewell County Public Schools",DIV,45.8
"2020 - 2021","Virginia Beach City Public Schools",DIV,48.2
"2020 - 2021","Warren County Public Schools",DIV,50.7
"2020 - 2021","Washington County Public Schools",DIV,48.3
"2020 - 2021","Waynesboro City Public Schools",DIV,58.5
"2020 - 2021","West Point Public Schools",DIV,61.3
"2020 - 2021","Westmoreland County Public Schools",DIV,58.3
"2020 - 2021","Williamsburg-James City County Public Schools",DIV,34.1
"2020 - 2021","Winchester City Public Schools",DIV,47.7
"2020 - 2021","Wise County Public Schools",DIV,42.2
"2020 - 2021","Wythe County Public Schools",DIV,51.2
"2020 - 2021","York County Public Schools",DIV,24
