"Participation of Eligible Students"
3/17/2022

Year,Division,Level,Percent
"2018 - 2019","Manassas City Public Schools",DIV,69
"2018 - 2019","Manassas Park City Public Schools",DIV,79.1
"2018 - 2019","Martinsville City Public Schools",DIV,81.1
"2018 - 2019","Mathews County Public Schools",DIV,76.5
"2018 - 2019","Mecklenburg County Public Schools",DIV,71.6
"2018 - 2019","Middlesex County Public Schools",DIV,70.1
"2018 - 2019","Montgomery County Public Schools",DIV,67.6
"2018 - 2019","Nelson County Public Schools",DIV,73
"2018 - 2019","New Kent County Public Schools",DIV,59.2
"2018 - 2019","Newport News City Public Schools",DIV,76.9
"2018 - 2019","Norfolk City Public Schools",DIV,76.6
"2018 - 2019","Northampton County Public Schools",DIV,75.3
"2018 - 2019","Northumberland County Public Schools",DIV,65.8
"2018 - 2019","Norton City Public Schools",DIV,83.2
"2018 - 2019","Nottoway County Public Schools",DIV,65.6
"2018 - 2019","Orange County Public Schools",DIV,68.4
"2018 - 2019","Page County Public Schools",DIV,68.5
"2018 - 2019","Patrick County Public Schools",DIV,72.7
"2018 - 2019","Petersburg City Public Schools",DIV,65.3
"2018 - 2019","Pittsylvania County Public Schools",DIV,79.9
"2018 - 2019","Poquoson City Public Schools",DIV,61.9
"2018 - 2019","Portsmouth City Public Schools",DIV,69.8
"2018 - 2019","Powhatan County Public Schools",DIV,56
"2018 - 2019","Prince Edward County Public Schools",DIV,75.1
"2018 - 2019","Prince George County Public Schools",DIV,75.4
"2018 - 2019","Prince William County Public Schools",DIV,80.7
"2018 - 2019","Pulaski County Public Schools",DIV,74.5
"2018 - 2019","Radford City Public Schools",DIV,73.4
"2018 - 2019","Rappahannock County Public Schools",DIV,65.2
"2018 - 2019","Richmond City Public Schools",DIV,74.7
"2018 - 2019","Richmond County Public Schools",DIV,58.5
"2018 - 2019","Roanoke City Public Schools",DIV,71.8
"2018 - 2019","Roanoke County Public Schools",DIV,69.2
"2018 - 2019","Rockbridge County Public Schools",DIV,69.5
"2018 - 2019","Rockingham County Public Schools",DIV,72.7
"2018 - 2019","Russell County Public Schools",DIV,69.2
"2018 - 2019","Salem City Public Schools",DIV,73.8
"2018 - 2019","Scott County Public Schools",DIV,73.9
"2018 - 2019","Shenandoah County Public Schools",DIV,56.8
"2018 - 2019","Smyth County Public Schools",DIV,74.3
"2018 - 2019","Southampton County Public Schools",DIV,67.9
"2018 - 2019","Spotsylvania County Public Schools",DIV,71.8
"2018 - 2019","Stafford County Public Schools",DIV,75.9
"2018 - 2019","Staunton City Public Schools",DIV,68.8
