"Teacher Educational Attainment"
3/17/2022

Year,Level,Division,"Year Percent",Type
"2018 - 2019",DIV,"Tazewell County Public Schools",0,"Doctoral Degree"
"2018 - 2019",DIV,"Tazewell County Public Schools",56,"Bachelor's Degree"
"2018 - 2019",DIV,"Virginia Beach City Public Schools",53,"Master's Degree"
"2018 - 2019",DIV,"Virginia Beach City Public Schools",2,"Doctoral Degree"
"2018 - 2019",DIV,"Virginia Beach City Public Schools",42,"Bachelor's Degree"
"2018 - 2019",DIV,"Warren County Public Schools",40,"Master's Degree"
"2018 - 2019",DIV,"Warren County Public Schools",0,"Doctoral Degree"
"2018 - 2019",DIV,"Warren County Public Schools",56,"Bachelor's Degree"
"2018 - 2019",DIV,"Washington County Public Schools",43,"Master's Degree"
"2018 - 2019",DIV,"Washington County Public Schools",1,"Doctoral Degree"
"2018 - 2019",DIV,"Washington County Public Schools",49,"Bachelor's Degree"
"2018 - 2019",DIV,"Waynesboro City Public Schools",53,"Master's Degree"
"2018 - 2019",DIV,"Waynesboro City Public Schools",0,"Doctoral Degree"
"2018 - 2019",DIV,"Waynesboro City Public Schools",45,"Bachelor's Degree"
"2018 - 2019",DIV,"West Point Public Schools",43,"Bachelor's Degree"
"2018 - 2019",DIV,"West Point Public Schools",56,"Master's Degree"
"2018 - 2019",DIV,"West Point Public Schools",0,"Doctoral Degree"
"2018 - 2019",DIV,"Westmoreland County Public Schools",46,"Master's Degree"
"2018 - 2019",DIV,"Westmoreland County Public Schools",0,"Doctoral Degree"
"2018 - 2019",DIV,"Westmoreland County Public Schools",49,"Bachelor's Degree"
"2018 - 2019",DIV,"Williamsburg-James City County Public Schools",32,"Bachelor's Degree"
"2018 - 2019",DIV,"Williamsburg-James City County Public Schools",62,"Master's Degree"
"2018 - 2019",DIV,"Williamsburg-James City County Public Schools",2,"Doctoral Degree"
"2018 - 2019",DIV,"Winchester City Public Schools",30,"Bachelor's Degree"
"2018 - 2019",DIV,"Winchester City Public Schools",65,"Master's Degree"
"2018 - 2019",DIV,"Winchester City Public Schools",3,"Doctoral Degree"
"2018 - 2019",DIV,"Wise County Public Schools",54,"Bachelor's Degree"
"2018 - 2019",DIV,"Wise County Public Schools",38,"Master's Degree"
"2018 - 2019",DIV,"Wise County Public Schools",1,"Doctoral Degree"
"2018 - 2019",DIV,"Wythe County Public Schools",61,"Bachelor's Degree"
"2018 - 2019",DIV,"Wythe County Public Schools",33,"Master's Degree"
"2018 - 2019",DIV,"Wythe County Public Schools",0,"Doctoral Degree"
"2018 - 2019",DIV,"York County Public Schools",33,"Bachelor's Degree"
"2018 - 2019",DIV,"York County Public Schools",63,"Master's Degree"
"2018 - 2019",DIV,"York County Public Schools",2,"Doctoral Degree"
"2019 - 2020",DIV,"Accomack County Public Schools",42,"Master's Degree"
"2019 - 2020",DIV,"Accomack County Public Schools",2,"Doctoral Degree"
"2019 - 2020",DIV,"Accomack County Public Schools",52,"Bachelor's Degree"
"2019 - 2020",DIV,"Albemarle County Public Schools",62,"Master's Degree"
"2019 - 2020",DIV,"Albemarle County Public Schools",1,"Doctoral Degree"
"2019 - 2020",DIV,"Albemarle County Public Schools",34,"Bachelor's Degree"
"2019 - 2020",DIV,"Alexandria City Public Schools",70,"Master's Degree"
"2019 - 2020",DIV,"Alexandria City Public Schools",1,"Doctoral Degree"
"2019 - 2020",DIV,"Alexandria City Public Schools",26,"Bachelor's Degree"
"2019 - 2020",DIV,"Alleghany County Public Schools",47,"Master's Degree"
"2019 - 2020",DIV,"Alleghany County Public Schools",1,"Doctoral Degree"
"2019 - 2020",DIV,"Alleghany County Public Schools",48,"Bachelor's Degree"
"2019 - 2020",DIV,"Amelia County Public Schools",58,"Bachelor's Degree"
"2019 - 2020",DIV,"Amelia County Public Schools",41,"Master's Degree"
"2019 - 2020",DIV,"Amelia County Public Schools",1,"Doctoral Degree"
"2019 - 2020",DIV,"Amherst County Public Schools",49,"Bachelor's Degree"
"2019 - 2020",DIV,"Amherst County Public Schools",49,"Master's Degree"
"2019 - 2020",DIV,"Amherst County Public Schools",1,"Doctoral Degree"
"2019 - 2020",DIV,"Appomattox County Public Schools",53,"Bachelor's Degree"
"2019 - 2020",DIV,"Appomattox County Public Schools",44,"Master's Degree"
"2019 - 2020",DIV,"Appomattox County Public Schools",1,"Doctoral Degree"
"2019 - 2020",DIV,"Arlington County Public Schools",24,"Bachelor's Degree"
"2019 - 2020",DIV,"Arlington County Public Schools",73,"Master's Degree"
"2019 - 2020",DIV,"Arlington County Public Schools",2,"Doctoral Degree"
"2019 - 2020",DIV,"Augusta County Public Schools",50,"Bachelor's Degree"
"2019 - 2020",DIV,"Augusta County Public Schools",48,"Master's Degree"
"2019 - 2020",DIV,"Augusta County Public Schools",1,"Doctoral Degree"
"2019 - 2020",DIV,"Bath County Public Schools",46,"Bachelor's Degree"
"2019 - 2020",DIV,"Bath County Public Schools",49,"Master's Degree"
"2019 - 2020",DIV,"Bath County Public Schools",1,"Doctoral Degree"
"2019 - 2020",DIV,"Bedford County Public Schools",47,"Bachelor's Degree"
"2019 - 2020",DIV,"Bedford County Public Schools",48,"Master's Degree"
"2019 - 2020",DIV,"Bedford County Public Schools",0,"Doctoral Degree"
"2019 - 2020",DIV,"Bland County Public Schools",68,"Bachelor's Degree"
"2019 - 2020",DIV,"Bland County Public Schools",28,"Master's Degree"
"2019 - 2020",DIV,"Bland County Public Schools",2,"Doctoral Degree"
"2019 - 2020",DIV,"Botetourt County Public Schools",46,"Bachelor's Degree"
"2019 - 2020",DIV,"Botetourt County Public Schools",48,"Master's Degree"
"2019 - 2020",DIV,"Botetourt County Public Schools",0,"Doctoral Degree"
"2019 - 2020",DIV,"Bristol City Public Schools",51,"Bachelor's Degree"
"2019 - 2020",DIV,"Bristol City Public Schools",43,"Master's Degree"
"2019 - 2020",DIV,"Bristol City Public Schools",2,"Doctoral Degree"
"2019 - 2020",DIV,"Brunswick County Public Schools",44,"Bachelor's Degree"
"2019 - 2020",DIV,"Brunswick County Public Schools",44,"Master's Degree"
"2019 - 2020",DIV,"Brunswick County Public Schools",5,"Doctoral Degree"
"2019 - 2020",DIV,"Buchanan County Public Schools",56,"Bachelor's Degree"
"2019 - 2020",DIV,"Buchanan County Public Schools",39,"Master's Degree"
"2019 - 2020",DIV,"Buchanan County Public Schools",0,"Doctoral Degree"
"2019 - 2020",DIV,"Buckingham County Public Schools",51,"Bachelor's Degree"
"2019 - 2020",DIV,"Buckingham County Public Schools",47,"Master's Degree"
"2019 - 2020",DIV,"Buckingham County Public Schools",0,"Doctoral Degree"
"2019 - 2020",DIV,"Buena Vista City Public Schools",45,"Bachelor's Degree"
"2019 - 2020",DIV,"Buena Vista City Public Schools",51,"Master's Degree"
"2019 - 2020",DIV,"Buena Vista City Public Schools",1,"Doctoral Degree"
"2019 - 2020",DIV,"Campbell County Public Schools",0,"Doctoral Degree"
"2019 - 2020",DIV,"Campbell County Public Schools",54,"Bachelor's Degree"
"2019 - 2020",DIV,"Campbell County Public Schools",44,"Master's Degree"
"2019 - 2020",DIV,"Caroline County Public Schools",0,"Doctoral Degree"
"2019 - 2020",DIV,"Caroline County Public Schools",46,"Bachelor's Degree"
"2019 - 2020",DIV,"Caroline County Public Schools",52,"Master's Degree"
"2019 - 2020",DIV,"Carroll County Public Schools",2,"Doctoral Degree"
"2019 - 2020",DIV,"Carroll County Public Schools",44,"Bachelor's Degree"
"2019 - 2020",DIV,"Carroll County Public Schools",51,"Master's Degree"
"2019 - 2020",DIV,"Charles City County Public Schools",1,"Doctoral Degree"
"2019 - 2020",DIV,"Charles City County Public Schools",35,"Bachelor's Degree"
"2019 - 2020",DIV,"Charles City County Public Schools",55,"Master's Degree"
"2019 - 2020",DIV,"Charlotte County Public Schools",0,"Doctoral Degree"
"2019 - 2020",DIV,"Charlotte County Public Schools",57,"Bachelor's Degree"
"2019 - 2020",DIV,"Charlotte County Public Schools",39,"Master's Degree"
"2019 - 2020",DIV,"Charlottesville City Public Schools",34,"Bachelor's Degree"
"2019 - 2020",DIV,"Charlottesville City Public Schools",61,"Master's Degree"
"2019 - 2020",DIV,"Charlottesville City Public Schools",2,"Doctoral Degree"
"2019 - 2020",DIV,"Chesapeake City Public Schools",58,"Master's Degree"
"2019 - 2020",DIV,"Chesapeake City Public Schools",1,"Doctoral Degree"
"2019 - 2020",DIV,"Chesapeake City Public Schools",37,"Bachelor's Degree"
"2019 - 2020",DIV,"Chesterfield County Public Schools",2,"Doctoral Degree"
"2019 - 2020",DIV,"Chesterfield County Public Schools",41,"Bachelor's Degree"
"2019 - 2020",DIV,"Chesterfield County Public Schools",55,"Master's Degree"
"2019 - 2020",DIV,"Clarke County Public Schools",1,"Doctoral Degree"
"2019 - 2020",DIV,"Clarke County Public Schools",34,"Bachelor's Degree"
"2019 - 2020",DIV,"Clarke County Public Schools",63,"Master's Degree"
"2019 - 2020",DIV,"Colonial Beach Public Schools",73,"Bachelor's Degree"
"2019 - 2020",DIV,"Colonial Beach Public Schools",25,"Master's Degree"
"2019 - 2020",DIV,"Colonial Beach Public Schools",0,"Doctoral Degree"
"2019 - 2020",DIV,"Colonial Heights City Public Schools",54,"Bachelor's Degree"
"2019 - 2020",DIV,"Colonial Heights City Public Schools",45,"Master's Degree"
"2019 - 2020",DIV,"Colonial Heights City Public Schools",0,"Doctoral Degree"
"2019 - 2020",DIV,"Covington City Public Schools",58,"Bachelor's Degree"
"2019 - 2020",DIV,"Covington City Public Schools",42,"Master's Degree"
"2019 - 2020",DIV,"Covington City Public Schools",0,"Doctoral Degree"
"2019 - 2020",DIV,"Craig County Public Schools",0,"Doctoral Degree"
"2019 - 2020",DIV,"Craig County Public Schools",60,"Bachelor's Degree"
"2019 - 2020",DIV,"Craig County Public Schools",38,"Master's Degree"
"2019 - 2020",DIV,"Culpeper County Public Schools",46,"Master's Degree"
"2019 - 2020",DIV,"Culpeper County Public Schools",1,"Doctoral Degree"
"2019 - 2020",DIV,"Culpeper County Public Schools",51,"Bachelor's Degree"
"2019 - 2020",DIV,"Cumberland County Public Schools",44,"Master's Degree"
"2019 - 2020",DIV,"Cumberland County Public Schools",1,"Doctoral Degree"
"2019 - 2020",DIV,"Cumberland County Public Schools",53,"Bachelor's Degree"
"2019 - 2020",DIV,"Danville City Public Schools",45,"Bachelor's Degree"
"2019 - 2020",DIV,"Danville City Public Schools",48,"Master's Degree"
"2019 - 2020",DIV,"Danville City Public Schools",1,"Doctoral Degree"
"2019 - 2020",DIV,"Dickenson County Public Schools",21,"Master's Degree"
"2019 - 2020",DIV,"Dickenson County Public Schools",0,"Doctoral Degree"
"2019 - 2020",DIV,"Dickenson County Public Schools",72,"Bachelor's Degree"
"2019 - 2020",DIV,"Dinwiddie County Public Schools",47,"Master's Degree"
"2019 - 2020",DIV,"Dinwiddie County Public Schools",0,"Doctoral Degree"
"2019 - 2020",DIV,"Dinwiddie County Public Schools",51,"Bachelor's Degree"
"2019 - 2020",DIV,"Essex County Public Schools",44,"Master's Degree"
"2019 - 2020",DIV,"Essex County Public Schools",0,"Doctoral Degree"
"2019 - 2020",DIV,"Essex County Public Schools",50,"Bachelor's Degree"
"2019 - 2020",DIV,"Fairfax County Public Schools",72,"Master's Degree"
"2019 - 2020",DIV,"Fairfax County Public Schools",2,"Doctoral Degree"
"2019 - 2020",DIV,"Fairfax County Public Schools",26,"Bachelor's Degree"
"2019 - 2020",DIV,"Falls Church City Public Schools",18,"Bachelor's Degree"
"2019 - 2020",DIV,"Falls Church City Public Schools",76,"Master's Degree"
"2019 - 2020",DIV,"Falls Church City Public Schools",3,"Doctoral Degree"
"2019 - 2020",DIV,"Fauquier County Public Schools",54,"Master's Degree"
"2019 - 2020",DIV,"Fauquier County Public Schools",1,"Doctoral Degree"
"2019 - 2020",DIV,"Fauquier County Public Schools",43,"Bachelor's Degree"
"2019 - 2020",DIV,"Floyd County Public Schools",45,"Master's Degree"
"2019 - 2020",DIV,"Floyd County Public Schools",0,"Doctoral Degree"
"2019 - 2020",DIV,"Floyd County Public Schools",48,"Bachelor's Degree"
"2019 - 2020",DIV,"Fluvanna County Public Schools",51,"Master's Degree"
"2019 - 2020",DIV,"Fluvanna County Public Schools",1,"Doctoral Degree"
"2019 - 2020",DIV,"Fluvanna County Public Schools",46,"Bachelor's Degree"
"2019 - 2020",DIV,"Franklin City Public Schools",36,"Master's Degree"
"2019 - 2020",DIV,"Franklin City Public Schools",1,"Doctoral Degree"
"2019 - 2020",DIV,"Franklin City Public Schools",56,"Bachelor's Degree"
"2019 - 2020",DIV,"Franklin County Public Schools",51,"Master's Degree"
"2019 - 2020",DIV,"Franklin County Public Schools",1,"Doctoral Degree"
"2019 - 2020",DIV,"Franklin County Public Schools",45,"Bachelor's Degree"
"2019 - 2020",DIV,"Frederick County Public Schools",44,"Bachelor's Degree"
"2019 - 2020",DIV,"Frederick County Public Schools",53,"Master's Degree"
"2019 - 2020",DIV,"Frederick County Public Schools",1,"Doctoral Degree"
"2019 - 2020",DIV,"Fredericksburg City Public Schools",43,"Bachelor's Degree"
"2019 - 2020",DIV,"Fredericksburg City Public Schools",54,"Master's Degree"
"2019 - 2020",DIV,"Fredericksburg City Public Schools",1,"Doctoral Degree"
"2019 - 2020",DIV,"Galax City Public Schools",46,"Bachelor's Degree"
"2019 - 2020",DIV,"Galax City Public Schools",50,"Master's Degree"
"2019 - 2020",DIV,"Galax City Public Schools",0,"Doctoral Degree"
"2019 - 2020",DIV,"Giles County Public Schools",63,"Bachelor's Degree"
"2019 - 2020",DIV,"Giles County Public Schools",34,"Master's Degree"
"2019 - 2020",DIV,"Giles County Public Schools",0,"Doctoral Degree"
"2019 - 2020",DIV,"Gloucester County Public Schools",42,"Bachelor's Degree"
"2019 - 2020",DIV,"Gloucester County Public Schools",54,"Master's Degree"
"2019 - 2020",DIV,"Gloucester County Public Schools",0,"Doctoral Degree"
"2019 - 2020",DIV,"Goochland County Public Schools",43,"Bachelor's Degree"
"2019 - 2020",DIV,"Goochland County Public Schools",55,"Master's Degree"
"2019 - 2020",DIV,"Goochland County Public Schools",0,"Doctoral Degree"
"2019 - 2020",DIV,"Grayson County Public Schools",54,"Bachelor's Degree"
"2019 - 2020",DIV,"Grayson County Public Schools",41,"Master's Degree"
"2019 - 2020",DIV,"Grayson County Public Schools",2,"Doctoral Degree"
"2019 - 2020",DIV,"Greene County Public Schools",41,"Bachelor's Degree"
"2019 - 2020",DIV,"Greene County Public Schools",56,"Master's Degree"
"2019 - 2020",DIV,"Greene County Public Schools",1,"Doctoral Degree"
"2019 - 2020",DIV,"Greensville County Public Schools",53,"Bachelor's Degree"
"2019 - 2020",DIV,"Greensville County Public Schools",38,"Master's Degree"
"2019 - 2020",DIV,"Greensville County Public Schools",2,"Doctoral Degree"
"2019 - 2020",DIV,"Halifax County Public Schools",53,"Bachelor's Degree"
"2019 - 2020",DIV,"Halifax County Public Schools",43,"Master's Degree"
"2019 - 2020",DIV,"Halifax County Public Schools",1,"Doctoral Degree"
"2019 - 2020",DIV,"Hampton City Public Schools",45,"Bachelor's Degree"
"2019 - 2020",DIV,"Hampton City Public Schools",48,"Master's Degree"
"2019 - 2020",DIV,"Hampton City Public Schools",2,"Doctoral Degree"
"2019 - 2020",DIV,"Hanover County Public Schools",34,"Bachelor's Degree"
"2019 - 2020",DIV,"Hanover County Public Schools",64,"Master's Degree"
"2019 - 2020",DIV,"Hanover County Public Schools",1,"Doctoral Degree"
"2019 - 2020",DIV,"Harrisonburg City Public Schools",41,"Bachelor's Degree"
"2019 - 2020",DIV,"Harrisonburg City Public Schools",56,"Master's Degree"
"2019 - 2020",DIV,"Harrisonburg City Public Schools",1,"Doctoral Degree"
"2019 - 2020",DIV,"Henrico County Public Schools",37,"Bachelor's Degree"
"2019 - 2020",DIV,"Henrico County Public Schools",60,"Master's Degree"
"2019 - 2020",DIV,"Henrico County Public Schools",1,"Doctoral Degree"
"2019 - 2020",DIV,"Henry County Public Schools",54,"Bachelor's Degree"
"2019 - 2020",DIV,"Henry County Public Schools",44,"Master's Degree"
"2019 - 2020",DIV,"Henry County Public Schools",1,"Doctoral Degree"
"2019 - 2020",DIV,"Highland County Public Schools",66,"Bachelor's Degree"
"2019 - 2020",DIV,"Highland County Public Schools",31,"Master's Degree"
"2019 - 2020",DIV,"Highland County Public Schools",0,"Doctoral Degree"
"2019 - 2020",DIV,"Hopewell City Public Schools",58,"Bachelor's Degree"
"2019 - 2020",DIV,"Hopewell City Public Schools",39,"Master's Degree"
"2019 - 2020",DIV,"Hopewell City Public Schools",2,"Doctoral Degree"
"2019 - 2020",DIV,"Isle of Wight County Public Schools",1,"Doctoral Degree"
"2019 - 2020",DIV,"Isle of Wight County Public Schools",43,"Bachelor's Degree"
"2019 - 2020",DIV,"Isle of Wight County Public Schools",51,"Master's Degree"
"2019 - 2020",DIV,"King George County Public Schools",1,"Doctoral Degree"
"2019 - 2020",DIV,"King George County Public Schools",46,"Bachelor's Degree"
"2019 - 2020",DIV,"King George County Public Schools",51,"Master's Degree"
"2019 - 2020",DIV,"King William County Public Schools",1,"Doctoral Degree"
"2019 - 2020",DIV,"King William County Public Schools",52,"Bachelor's Degree"
"2019 - 2020",DIV,"King William County Public Schools",46,"Master's Degree"
"2019 - 2020",DIV,"King and Queen County Public Schools",1,"Doctoral Degree"
"2019 - 2020",DIV,"King and Queen County Public Schools",53,"Bachelor's Degree"
"2019 - 2020",DIV,"King and Queen County Public Schools",44,"Master's Degree"
"2019 - 2020",DIV,"Lancaster County Public Schools",1,"Doctoral Degree"
"2019 - 2020",DIV,"Lancaster County Public Schools",45,"Bachelor's Degree"
"2019 - 2020",DIV,"Lancaster County Public Schools",49,"Master's Degree"
"2019 - 2020",DIV,"Lee County Public Schools",0,"Doctoral Degree"
"2019 - 2020",DIV,"Lee County Public Schools",54,"Bachelor's Degree"
"2019 - 2020",DIV,"Lee County Public Schools",37,"Master's Degree"
"2019 - 2020",DIV,"Lexington City Public Schools",34,"Bachelor's Degree"
"2019 - 2020",DIV,"Lexington City Public Schools",60,"Master's Degree"
"2019 - 2020",DIV,"Lexington City Public Schools",2,"Doctoral Degree"
"2019 - 2020",DIV,"Loudoun County Public Schools",1,"Doctoral Degree"
"2019 - 2020",DIV,"Loudoun County Public Schools",27,"Bachelor's Degree"
"2019 - 2020",DIV,"Loudoun County Public Schools",71,"Master's Degree"
"2019 - 2020",DIV,"Louisa County Public Schools",1,"Doctoral Degree"
"2019 - 2020",DIV,"Louisa County Public Schools",54,"Bachelor's Degree"
"2019 - 2020",DIV,"Louisa County Public Schools",41,"Master's Degree"
"2019 - 2020",DIV,"Lunenburg County Public Schools",1,"Doctoral Degree"
"2019 - 2020",DIV,"Lunenburg County Public Schools",58,"Bachelor's Degree"
"2019 - 2020",DIV,"Lunenburg County Public Schools",38,"Master's Degree"
"2019 - 2020",DIV,"Lynchburg City Public Schools",1,"Doctoral Degree"
"2019 - 2020",DIV,"Lynchburg City Public Schools",50,"Bachelor's Degree"
"2019 - 2020",DIV,"Lynchburg City Public Schools",46,"Master's Degree"
"2019 - 2020",DIV,"Madison County Public Schools",1,"Doctoral Degree"
"2019 - 2020",DIV,"Madison County Public Schools",49,"Bachelor's Degree"
"2019 - 2020",DIV,"Madison County Public Schools",46,"Master's Degree"
"2019 - 2020",DIV,"Manassas City Public Schools",31,"Bachelor's Degree"
"2019 - 2020",DIV,"Manassas City Public Schools",65,"Master's Degree"
"2019 - 2020",DIV,"Manassas City Public Schools",1,"Doctoral Degree"
"2019 - 2020",DIV,"Manassas Park City Public Schools",43,"Bachelor's Degree"
"2019 - 2020",DIV,"Manassas Park City Public Schools",54,"Master's Degree"
"2019 - 2020",DIV,"Manassas Park City Public Schools",1,"Doctoral Degree"
"2019 - 2020",DIV,"Martinsville City Public Schools",1,"Doctoral Degree"
"2019 - 2020",DIV,"Martinsville City Public Schools",57,"Bachelor's Degree"
"2019 - 2020",DIV,"Martinsville City Public Schools",38,"Master's Degree"
"2019 - 2020",DIV,"Mathews County Public Schools",51,"Master's Degree"
"2019 - 2020",DIV,"Mathews County Public Schools",0,"Doctoral Degree"
"2019 - 2020",DIV,"Mathews County Public Schools",43,"Bachelor's Degree"
"2019 - 2020",DIV,"Mecklenburg County Public Schools",42,"Master's Degree"
"2019 - 2020",DIV,"Mecklenburg County Public Schools",1,"Doctoral Degree"
"2019 - 2020",DIV,"Mecklenburg County Public Schools",53,"Bachelor's Degree"
"2019 - 2020",DIV,"Middlesex County Public Schools",44,"Master's Degree"
"2019 - 2020",DIV,"Middlesex County Public Schools",0,"Doctoral Degree"
"2019 - 2020",DIV,"Middlesex County Public Schools",50,"Bachelor's Degree"
"2019 - 2020",DIV,"Montgomery County Public Schools",57,"Master's Degree"
"2019 - 2020",DIV,"Montgomery County Public Schools",1,"Doctoral Degree"
"2019 - 2020",DIV,"Montgomery County Public Schools",40,"Bachelor's Degree"
"2019 - 2020",DIV,"Nelson County Public Schools",56,"Master's Degree"
"2019 - 2020",DIV,"Nelson County Public Schools",3,"Doctoral Degree"
"2019 - 2020",DIV,"Nelson County Public Schools",38,"Bachelor's Degree"
"2019 - 2020",DIV,"New Kent County Public Schools",52,"Master's Degree"
"2019 - 2020",DIV,"New Kent County Public Schools",1,"Doctoral Degree"
"2019 - 2020",DIV,"New Kent County Public Schools",45,"Bachelor's Degree"
"2019 - 2020",DIV,"Newport News City Public Schools",1,"Doctoral Degree"
"2019 - 2020",DIV,"Newport News City Public Schools",36,"Bachelor's Degree"
"2019 - 2020",DIV,"Newport News City Public Schools",53,"Master's Degree"
"2019 - 2020",DIV,"Norfolk City Public Schools",2,"Doctoral Degree"
"2019 - 2020",DIV,"Norfolk City Public Schools",40,"Bachelor's Degree"
"2019 - 2020",DIV,"Norfolk City Public Schools",52,"Master's Degree"
"2019 - 2020",DIV,"Northampton County Public Schools",30,"Master's Degree"
"2019 - 2020",DIV,"Northampton County Public Schools",1,"Doctoral Degree"
"2019 - 2020",DIV,"Northampton County Public Schools",64,"Bachelor's Degree"
"2019 - 2020",DIV,"Northumberland County Public Schools",46,"Master's Degree"
"2019 - 2020",DIV,"Northumberland County Public Schools",2,"Doctoral Degree"
"2019 - 2020",DIV,"Northumberland County Public Schools",50,"Bachelor's Degree"
"2019 - 2020",DIV,"Norton City Public Schools",0,"Doctoral Degree"
"2019 - 2020",DIV,"Norton City Public Schools",61,"Bachelor's Degree"
"2019 - 2020",DIV,"Norton City Public Schools",31,"Master's Degree"
"2019 - 2020",DIV,"Nottoway County Public Schools",52,"Bachelor's Degree"
"2019 - 2020",DIV,"Nottoway County Public Schools",46,"Master's Degree"
"2019 - 2020",DIV,"Nottoway County Public Schools",1,"Doctoral Degree"
"2019 - 2020",DIV,"Orange County Public Schools",45,"Bachelor's Degree"
"2019 - 2020",DIV,"Orange County Public Schools",46,"Master's Degree"
"2019 - 2020",DIV,"Orange County Public Schools",1,"Doctoral Degree"
"2019 - 2020",DIV,"Page County Public Schools",53,"Bachelor's Degree"
"2019 - 2020",DIV,"Page County Public Schools",42,"Master's Degree"
"2019 - 2020",DIV,"Page County Public Schools",1,"Doctoral Degree"
"2019 - 2020",DIV,"Patrick County Public Schools",54,"Bachelor's Degree"
"2019 - 2020",DIV,"Patrick County Public Schools",42,"Master's Degree"
"2019 - 2020",DIV,"Patrick County Public Schools",1,"Doctoral Degree"
"2019 - 2020",DIV,"Petersburg City Public Schools",1,"Doctoral Degree"
"2019 - 2020",DIV,"Petersburg City Public Schools",53,"Bachelor's Degree"
"2019 - 2020",DIV,"Petersburg City Public Schools",42,"Master's Degree"
"2019 - 2020",DIV,"Pittsylvania County Public Schools",56,"Bachelor's Degree"
"2019 - 2020",DIV,"Pittsylvania County Public Schools",40,"Master's Degree"
"2019 - 2020",DIV,"Pittsylvania County Public Schools",0,"Doctoral Degree"
"2019 - 2020",DIV,"Poquoson City Public Schools",41,"Bachelor's Degree"
"2019 - 2020",DIV,"Poquoson City Public Schools",58,"Master's Degree"
"2019 - 2020",DIV,"Poquoson City Public Schools",1,"Doctoral Degree"
"2019 - 2020",DIV,"Portsmouth City Public Schools",2,"Doctoral Degree"
"2019 - 2020",DIV,"Portsmouth City Public Schools",46,"Bachelor's Degree"
"2019 - 2020",DIV,"Portsmouth City Public Schools",46,"Master's Degree"
"2019 - 2020",DIV,"Powhatan County Public Schools",41,"Bachelor's Degree"
"2019 - 2020",DIV,"Powhatan County Public Schools",57,"Master's Degree"
"2019 - 2020",DIV,"Powhatan County Public Schools",1,"Doctoral Degree"
"2019 - 2020",DIV,"Prince Edward County Public Schools",53,"Bachelor's Degree"
"2019 - 2020",DIV,"Prince Edward County Public Schools",40,"Master's Degree"
"2019 - 2020",DIV,"Prince Edward County Public Schools",2,"Doctoral Degree"
"2019 - 2020",DIV,"Prince George County Public Schools",56,"Bachelor's Degree"
"2019 - 2020",DIV,"Prince George County Public Schools",41,"Master's Degree"
"2019 - 2020",DIV,"Prince George County Public Schools",1,"Doctoral Degree"
"2019 - 2020",DIV,"Prince William County Public Schools",33,"Bachelor's Degree"
"2019 - 2020",DIV,"Prince William County Public Schools",64,"Master's Degree"
"2019 - 2020",DIV,"Prince William County Public Schools",1,"Doctoral Degree"
"2019 - 2020",DIV,"Pulaski County Public Schools",50,"Bachelor's Degree"
"2019 - 2020",DIV,"Pulaski County Public Schools",44,"Master's Degree"
"2019 - 2020",DIV,"Pulaski County Public Schools",1,"Doctoral Degree"
"2019 - 2020",DIV,"Radford City Public Schools",1,"Doctoral Degree"
"2019 - 2020",DIV,"Radford City Public Schools",39,"Bachelor's Degree"
"2019 - 2020",DIV,"Radford City Public Schools",56,"Master's Degree"
"2019 - 2020",DIV,"Rappahannock County Public Schools",43,"Bachelor's Degree"
"2019 - 2020",DIV,"Rappahannock County Public Schools",53,"Master's Degree"
"2019 - 2020",DIV,"Rappahannock County Public Schools",0,"Doctoral Degree"
"2019 - 2020",DIV,"Richmond City Public Schools",2,"Doctoral Degree"
"2019 - 2020",DIV,"Richmond City Public Schools",41,"Bachelor's Degree"
"2019 - 2020",DIV,"Richmond City Public Schools",55,"Master's Degree"
"2019 - 2020",DIV,"Richmond County Public Schools",54,"Bachelor's Degree"
"2019 - 2020",DIV,"Richmond County Public Schools",43,"Master's Degree"
"2019 - 2020",DIV,"Richmond County Public Schools",0,"Doctoral Degree"
"2019 - 2020",DIV,"Roanoke City Public Schools",1,"Doctoral Degree"
"2019 - 2020",DIV,"Roanoke City Public Schools",47,"Bachelor's Degree"
"2019 - 2020",DIV,"Roanoke City Public Schools",48,"Master's Degree"
"2019 - 2020",DIV,"Roanoke County Public Schools",43,"Bachelor's Degree"
"2019 - 2020",DIV,"Roanoke County Public Schools",54,"Master's Degree"
"2019 - 2020",DIV,"Roanoke County Public Schools",1,"Doctoral Degree"
"2019 - 2020",DIV,"Rockbridge County Public Schools",40,"Bachelor's Degree"
"2019 - 2020",DIV,"Rockbridge County Public Schools",55,"Master's Degree"
"2019 - 2020",DIV,"Rockbridge County Public Schools",2,"Doctoral Degree"
"2019 - 2020",DIV,"Rockingham County Public Schools",0,"Doctoral Degree"
"2019 - 2020",DIV,"Rockingham County Public Schools",47,"Bachelor's Degree"
"2019 - 2020",DIV,"Rockingham County Public Schools",52,"Master's Degree"
"2019 - 2020",DIV,"Russell County Public Schools",0,"Doctoral Degree"
"2019 - 2020",DIV,"Russell County Public Schools",61,"Bachelor's Degree"
"2019 - 2020",DIV,"Russell County Public Schools",34,"Master's Degree"
"2019 - 2020",DIV,"Salem City Public Schools",36,"Bachelor's Degree"
"2019 - 2020",DIV,"Salem City Public Schools",60,"Master's Degree"
"2019 - 2020",DIV,"Salem City Public Schools",1,"Doctoral Degree"
