"Teacher Educational Attainment"
3/17/2022

Year,Level,Division,"Year Percent",Type
"2018 - 2019",DIV,"Chesapeake City Public Schools",35,"Bachelor's Degree"
"2018 - 2019",DIV,"Chesapeake City Public Schools",60,"Master's Degree"
"2018 - 2019",DIV,"Chesapeake City Public Schools",1,"Doctoral Degree"
"2018 - 2019",DIV,"Chesterfield County Public Schools",55,"Master's Degree"
"2018 - 2019",DIV,"Chesterfield County Public Schools",2,"Doctoral Degree"
"2018 - 2019",DIV,"Chesterfield County Public Schools",41,"Bachelor's Degree"
"2018 - 2019",DIV,"Clarke County Public Schools",64,"Master's Degree"
"2018 - 2019",DIV,"Clarke County Public Schools",1,"Doctoral Degree"
"2018 - 2019",DIV,"Clarke County Public Schools",34,"Bachelor's Degree"
"2018 - 2019",DIV,"Colonial Beach Public Schools",69,"Bachelor's Degree"
"2018 - 2019",DIV,"Colonial Beach Public Schools",22,"Master's Degree"
"2018 - 2019",DIV,"Colonial Beach Public Schools",0,"Doctoral Degree"
"2018 - 2019",DIV,"Colonial Heights City Public Schools",52,"Bachelor's Degree"
"2018 - 2019",DIV,"Colonial Heights City Public Schools",46,"Master's Degree"
"2018 - 2019",DIV,"Colonial Heights City Public Schools",1,"Doctoral Degree"
"2018 - 2019",DIV,"Covington City Public Schools",54,"Bachelor's Degree"
"2018 - 2019",DIV,"Covington City Public Schools",46,"Master's Degree"
"2018 - 2019",DIV,"Covington City Public Schools",0,"Doctoral Degree"
"2018 - 2019",DIV,"Craig County Public Schools",39,"Master's Degree"
"2018 - 2019",DIV,"Craig County Public Schools",0,"Doctoral Degree"
"2018 - 2019",DIV,"Craig County Public Schools",59,"Bachelor's Degree"
"2018 - 2019",DIV,"Culpeper County Public Schools",46,"Master's Degree"
"2018 - 2019",DIV,"Culpeper County Public Schools",0,"Doctoral Degree"
"2018 - 2019",DIV,"Culpeper County Public Schools",50,"Bachelor's Degree"
"2018 - 2019",DIV,"Cumberland County Public Schools",46,"Master's Degree"
"2018 - 2019",DIV,"Cumberland County Public Schools",1,"Doctoral Degree"
"2018 - 2019",DIV,"Cumberland County Public Schools",50,"Bachelor's Degree"
"2018 - 2019",DIV,"Danville City Public Schools",44,"Bachelor's Degree"
"2018 - 2019",DIV,"Danville City Public Schools",49,"Master's Degree"
"2018 - 2019",DIV,"Danville City Public Schools",2,"Doctoral Degree"
"2018 - 2019",DIV,"Dickenson County Public Schools",24,"Master's Degree"
"2018 - 2019",DIV,"Dickenson County Public Schools",1,"Doctoral Degree"
"2018 - 2019",DIV,"Dickenson County Public Schools",70,"Bachelor's Degree"
"2018 - 2019",DIV,"Dinwiddie County Public Schools",49,"Master's Degree"
"2018 - 2019",DIV,"Dinwiddie County Public Schools",1,"Doctoral Degree"
"2018 - 2019",DIV,"Dinwiddie County Public Schools",50,"Bachelor's Degree"
"2018 - 2019",DIV,"Essex County Public Schools",46,"Master's Degree"
"2018 - 2019",DIV,"Essex County Public Schools",1,"Doctoral Degree"
"2018 - 2019",DIV,"Essex County Public Schools",52,"Bachelor's Degree"
"2018 - 2019",DIV,"Fairfax County Public Schools",72,"Master's Degree"
"2018 - 2019",DIV,"Fairfax County Public Schools",2,"Doctoral Degree"
"2018 - 2019",DIV,"Fairfax County Public Schools",26,"Bachelor's Degree"
"2018 - 2019",DIV,"Falls Church City Public Schools",21,"Bachelor's Degree"
"2018 - 2019",DIV,"Falls Church City Public Schools",75,"Master's Degree"
"2018 - 2019",DIV,"Falls Church City Public Schools",2,"Doctoral Degree"
"2018 - 2019",DIV,"Fauquier County Public Schools",42,"Bachelor's Degree"
"2018 - 2019",DIV,"Fauquier County Public Schools",56,"Master's Degree"
"2018 - 2019",DIV,"Fauquier County Public Schools",1,"Doctoral Degree"
"2018 - 2019",DIV,"Floyd County Public Schools",48,"Bachelor's Degree"
"2018 - 2019",DIV,"Floyd County Public Schools",45,"Master's Degree"
"2018 - 2019",DIV,"Floyd County Public Schools",1,"Doctoral Degree"
"2018 - 2019",DIV,"Fluvanna County Public Schools",46,"Bachelor's Degree"
"2018 - 2019",DIV,"Fluvanna County Public Schools",50,"Master's Degree"
"2018 - 2019",DIV,"Fluvanna County Public Schools",1,"Doctoral Degree"
"2018 - 2019",DIV,"Franklin City Public Schools",54,"Bachelor's Degree"
"2018 - 2019",DIV,"Franklin City Public Schools",41,"Master's Degree"
"2018 - 2019",DIV,"Franklin City Public Schools",1,"Doctoral Degree"
"2018 - 2019",DIV,"Franklin County Public Schools",44,"Bachelor's Degree"
"2018 - 2019",DIV,"Franklin County Public Schools",52,"Master's Degree"
"2018 - 2019",DIV,"Franklin County Public Schools",1,"Doctoral Degree"
"2018 - 2019",DIV,"Frederick County Public Schools",42,"Bachelor's Degree"
"2018 - 2019",DIV,"Frederick County Public Schools",52,"Master's Degree"
"2018 - 2019",DIV,"Frederick County Public Schools",2,"Doctoral Degree"
"2018 - 2019",DIV,"Fredericksburg City Public Schools",39,"Bachelor's Degree"
"2018 - 2019",DIV,"Fredericksburg City Public Schools",59,"Master's Degree"
"2018 - 2019",DIV,"Fredericksburg City Public Schools",1,"Doctoral Degree"
"2018 - 2019",DIV,"Galax City Public Schools",1,"Doctoral Degree"
"2018 - 2019",DIV,"Galax City Public Schools",40,"Bachelor's Degree"
"2018 - 2019",DIV,"Galax City Public Schools",55,"Master's Degree"
"2018 - 2019",DIV,"Giles County Public Schools",61,"Bachelor's Degree"
"2018 - 2019",DIV,"Giles County Public Schools",36,"Master's Degree"
"2018 - 2019",DIV,"Giles County Public Schools",0,"Doctoral Degree"
"2018 - 2019",DIV,"Gloucester County Public Schools",40,"Bachelor's Degree"
"2018 - 2019",DIV,"Gloucester County Public Schools",55,"Master's Degree"
"2018 - 2019",DIV,"Gloucester County Public Schools",1,"Doctoral Degree"
"2018 - 2019",DIV,"Goochland County Public Schools",44,"Bachelor's Degree"
"2018 - 2019",DIV,"Goochland County Public Schools",53,"Master's Degree"
"2018 - 2019",DIV,"Goochland County Public Schools",0,"Doctoral Degree"
"2018 - 2019",DIV,"Grayson County Public Schools",54,"Bachelor's Degree"
"2018 - 2019",DIV,"Grayson County Public Schools",43,"Master's Degree"
"2018 - 2019",DIV,"Grayson County Public Schools",0,"Doctoral Degree"
"2018 - 2019",DIV,"Greene County Public Schools",40,"Bachelor's Degree"
"2018 - 2019",DIV,"Greene County Public Schools",55,"Master's Degree"
"2018 - 2019",DIV,"Greene County Public Schools",1,"Doctoral Degree"
"2018 - 2019",DIV,"Greensville County Public Schools",56,"Bachelor's Degree"
"2018 - 2019",DIV,"Greensville County Public Schools",37,"Master's Degree"
"2018 - 2019",DIV,"Greensville County Public Schools",2,"Doctoral Degree"
"2018 - 2019",DIV,"Halifax County Public Schools",45,"Bachelor's Degree"
"2018 - 2019",DIV,"Halifax County Public Schools",47,"Master's Degree"
"2018 - 2019",DIV,"Halifax County Public Schools",1,"Doctoral Degree"
"2018 - 2019",DIV,"Hampton City Public Schools",2,"Doctoral Degree"
"2018 - 2019",DIV,"Hampton City Public Schools",43,"Bachelor's Degree"
"2018 - 2019",DIV,"Hampton City Public Schools",50,"Master's Degree"
"2018 - 2019",DIV,"Hanover County Public Schools",1,"Doctoral Degree"
"2018 - 2019",DIV,"Hanover County Public Schools",34,"Bachelor's Degree"
"2018 - 2019",DIV,"Hanover County Public Schools",62,"Master's Degree"
"2018 - 2019",DIV,"Harrisonburg City Public Schools",0,"Doctoral Degree"
"2018 - 2019",DIV,"Harrisonburg City Public Schools",41,"Bachelor's Degree"
"2018 - 2019",DIV,"Harrisonburg City Public Schools",57,"Master's Degree"
"2018 - 2019",DIV,"Henrico County Public Schools",1,"Doctoral Degree"
"2018 - 2019",DIV,"Henrico County Public Schools",37,"Bachelor's Degree"
"2018 - 2019",DIV,"Henrico County Public Schools",60,"Master's Degree"
"2018 - 2019",DIV,"Henry County Public Schools",1,"Doctoral Degree"
"2018 - 2019",DIV,"Henry County Public Schools",52,"Bachelor's Degree"
"2018 - 2019",DIV,"Henry County Public Schools",44,"Master's Degree"
"2018 - 2019",DIV,"Highland County Public Schools",0,"Doctoral Degree"
"2018 - 2019",DIV,"Highland County Public Schools",71,"Bachelor's Degree"
"2018 - 2019",DIV,"Highland County Public Schools",29,"Master's Degree"
"2018 - 2019",DIV,"Hopewell City Public Schools",2,"Doctoral Degree"
"2018 - 2019",DIV,"Hopewell City Public Schools",55,"Bachelor's Degree"
"2018 - 2019",DIV,"Hopewell City Public Schools",40,"Master's Degree"
"2018 - 2019",DIV,"Isle of Wight County Public Schools",1,"Doctoral Degree"
