School Name,State Name [Public School] Latest available year,School Name [Public School] 2018-19,School ID - NCES Assigned [Public School] Latest available year,County Name [Public School] 2018-19,Locale [Public School] 2018-19,National School Lunch Program [Public School] 2018-19,Pupil/Teacher Ratio [Public School] 2018-19
SHERMAN ELEM,Virginia,SHERMAN ELEM,510126000477,Fairfax County,21-Suburb: Large,Yes participating without using any Provision or the CEO,12.71
SHREVEWOOD ELEM,Virginia,SHREVEWOOD ELEM,510126000564,Fairfax County,21-Suburb: Large,Yes participating without using any Provision or the CEO,14.72
SILVERBROOK ELEM,Virginia,SILVERBROOK ELEM,510126002115,Fairfax County,21-Suburb: Large,Yes participating without using any Provision or the CEO,15.34
SLEEPY HOLLOW ELEM,Virginia,SLEEPY HOLLOW ELEM,510126000565,Fairfax County,21-Suburb: Large,Yes participating without using any Provision or the CEO,12.22
SOUTH COUNTY HIGH,Virginia,SOUTH COUNTY HIGH,510126002436,Fairfax County,21-Suburb: Large,Yes participating without using any Provision or the CEO,15.87
SOUTH COUNTY MIDDLE,Virginia,SOUTH COUNTY MIDDLE,510126002871,Fairfax County,21-Suburb: Large,Yes participating without using any Provision or the CEO,13.82
SOUTH LAKES HIGH,Virginia,SOUTH LAKES HIGH,510126000566,Fairfax County,13-City: Small,Yes participating without using any Provision or the CEO,13.45
SPRING HILL ELEM,Virginia,SPRING HILL ELEM,510126000567,Fairfax County,21-Suburb: Large,Yes participating without using any Provision or the CEO,17.71
SPRINGFIELD ESTATES ELEM,Virginia,SPRINGFIELD ESTATES ELEM,510126000568,Fairfax County,21-Suburb: Large,Yes participating without using any Provision or the CEO,16.34
STENWOOD ELEM,Virginia,STENWOOD ELEM,510126000569,Fairfax County,21-Suburb: Large,Yes participating without using any Provision or the CEO,15.26
STONE MIDDLE,Virginia,STONE MIDDLE,510126000086,Fairfax County,21-Suburb: Large,Yes participating without using any Provision or the CEO,13.04
STRATFORD LANDING ELEM,Virginia,STRATFORD LANDING ELEM,510126000570,Fairfax County,21-Suburb: Large,Yes participating without using any Provision or the CEO,14.85
SUNRISE VALLEY ELEM,Virginia,SUNRISE VALLEY ELEM,510126000571,Fairfax County,13-City: Small,Yes participating without using any Provision or the CEO,14.89
TERRA CENTRE ELEM,Virginia,TERRA CENTRE ELEM,510126001842,Fairfax County,21-Suburb: Large,Yes participating without using any Provision or the CEO,14.90
TERRASET ELEM,Virginia,TERRASET ELEM,510126000573,Fairfax County,13-City: Small,Yes participating without using any Provision or the CEO,14.19
THOMAS JEFFERSON HIGH,Virginia,THOMAS JEFFERSON HIGH,510126002034,Fairfax County,21-Suburb: Large,Yes participating without using any Provision or the CEO,17.51
THOREAU MIDDLE,Virginia,THOREAU MIDDLE,510126000574,Fairfax County,21-Suburb: Large,Yes participating without using any Provision or the CEO,14.65
TIMBER LANE ELEM,Virginia,TIMBER LANE ELEM,510126000575,Fairfax County,21-Suburb: Large,Yes participating without using any Provision or the CEO,12.85
TRANSITION SUPPORT RESOURCE CENTER/FAIRFAX,Virginia,TRANSITION SUPPORT RESOURCE CENTER/FAIRFAX,510007602351,Fairfax County,21-Suburb: Large,No,†
TWAIN MIDDLE,Virginia,TWAIN MIDDLE,510126000576,Fairfax County,21-Suburb: Large,Yes participating without using any Provision or the CEO,12.75
UNION MILL ELEM,Virginia,UNION MILL ELEM,510126002060,Fairfax County,21-Suburb: Large,Yes participating without using any Provision or the CEO,15.79
VIENNA ELEM,Virginia,VIENNA ELEM,510126000577,Fairfax County,21-Suburb: Large,Yes participating without using any Provision or the CEO,15.02
VIRGINIA HILLS EC RESOURCE CTR,Virginia,VIRGINIA HILLS E C RESOURCE CTR,510126002819,Fairfax County,21-Suburb: Large,No,15.39
VIRGINIA RUN ELEM,Virginia,VIRGINIA RUN ELEM,510126002146,Fairfax County,21-Suburb: Large,Yes participating without using any Provision or the CEO,14.61
WAKEFIELD FOREST ELEM,Virginia,WAKEFIELD FOREST ELEM,510126000580,Fairfax County,21-Suburb: Large,Yes participating without using any Provision or the CEO,16.52
WAPLES MILL ELEM,Virginia,WAPLES MILL ELEM,510126000088,Fairfax County,21-Suburb: Large,Yes participating without using any Provision or the CEO,15.18
WASHINGTON MILL ELEM,Virginia,WASHINGTON MILL ELEM,510126000582,Fairfax County,21-Suburb: Large,Yes participating without using any Provision or the CEO,13.63
WAYNEWOOD ELEM,Virginia,WAYNEWOOD ELEM,510126000583,Fairfax County,21-Suburb: Large,Yes participating without using any Provision or the CEO,17.06
WEST POTOMAC HIGH,Virginia,WEST POTOMAC HIGH,510126000489,Fairfax County,21-Suburb: Large,Yes participating without using any Provision or the CEO,14.76
WEST POTOMAC HIGH SCHOOL ACADEMY,Virginia,WEST POTOMAC HIGH SCHOOL ACADEMY,510126002945,Fairfax County,21-Suburb: Large,No,†
WEST SPRINGFIELD ELEM,Virginia,WEST SPRINGFIELD ELEM,510126000584,Fairfax County,21-Suburb: Large,Yes participating without using any Provision or the CEO,13.90
WEST SPRINGFIELD HIGH,Virginia,WEST SPRINGFIELD HIGH,510126000585,Fairfax County,21-Suburb: Large,Yes participating without using any Provision or the CEO,16.39
WESTBRIAR ELEM,Virginia,WESTBRIAR ELEM,510126000586,Fairfax County,21-Suburb: Large,Yes participating without using any Provision or the CEO,18.46
WESTFIELD HIGH,Virginia,WESTFIELD HIGH,510126002529,Fairfax County,21-Suburb: Large,Yes participating without using any Provision or the CEO,14.63
WESTGATE ELEM,Virginia,WESTGATE ELEM,510126000587,Fairfax County,21-Suburb: Large,Yes participating without using any Provision or the CEO,14.78
WESTLAWN ELEM,Virginia,WESTLAWN ELEM,510126000588,Fairfax County,21-Suburb: Large,Yes participating without using any Provision or the CEO,13.30
WEYANOKE ELEM,Virginia,WEYANOKE ELEM,510126000590,Fairfax County,21-Suburb: Large,Yes participating without using any Provision or the CEO,13.75
WHITE OAKS ELEM,Virginia,WHITE OAKS ELEM,510126001843,Fairfax County,21-Suburb: Large,Yes participating without using any Provision or the CEO,15.63
WHITMAN MIDDLE,Virginia,WHITMAN MIDDLE,510126000475,Fairfax County,21-Suburb: Large,Yes participating without using any Provision or the CEO,12.95
WILLOW SPRINGS ELEM,Virginia,WILLOW SPRINGS ELEM,510126002147,Fairfax County,21-Suburb: Large,Yes participating without using any Provision or the CEO,16.69
WOLFTRAP ELEM,Virginia,WOLFTRAP ELEM,510126000594,Fairfax County,21-Suburb: Large,Yes participating without using any Provision or the CEO,16.72
WOODBURN ELEM,Virginia,WOODBURN ELEM,510126000597,Fairfax County,21-Suburb: Large,Yes participating without using any Provision or the CEO,11.97
WOODLAWN ELEM,Virginia,WOODLAWN ELEM,510126000598,Fairfax County,21-Suburb: Large,Yes participating without using any Provision or the CEO,11.16
WOODLEY HILLS ELEM,Virginia,WOODLEY HILLS ELEM,510126000599,Fairfax County,21-Suburb: Large,Yes participating without using any Provision or the CEO,11.96
WOODSON HIGH,Virginia,WOODSON HIGH,510126000600,Fairfax County,21-Suburb: Large,Yes participating without using any Provision or the CEO,14.56
