School Name,State Name [Public School] Latest available year,School Name [Public School] 2018-19,School ID - NCES Assigned [Public School] Latest available year,County Name [Public School] 2018-19,Locale [Public School] 2018-19,National School Lunch Program [Public School] 2018-19,Pupil/Teacher Ratio [Public School] 2018-19
COLUMBIA ELEM,Virginia,COLUMBIA ELEM,510126000452,Fairfax County,21-Suburb: Large,Yes participating without using any Provision or the CEO,14.86
COLVIN RUN ELEM,Virginia,COLVIN RUN ELEM,510126002333,Fairfax County,21-Suburb: Large,Yes participating without using any Provision or the CEO,15.27
COMMUNITY BASED EDUCATION,Virginia,COMMUNITY BASED EDUCATION,510126000579,Fairfax County,21-Suburb: Large,No,†
COOPER MIDDLE,Virginia,COOPER MIDDLE,510126000453,Fairfax County,21-Suburb: Large,Yes participating without using any Provision or the CEO,16.57
CRESTWOOD ELEM,Virginia,CRESTWOOD ELEM,510126000454,Fairfax County,21-Suburb: Large,Yes participating without using any Provision or the CEO,13.30
CROSSFIELD ELEM,Virginia,CROSSFIELD ELEM,510126002118,Fairfax County,13-City: Small,Yes participating without using any Provision or the CEO,14.63
CUB RUN ELEM,Virginia,CUB RUN ELEM,510126002061,Fairfax County,21-Suburb: Large,Yes participating without using any Provision or the CEO,14.92
CUNNINGHAM PARK ELEM,Virginia,CUNNINGHAM PARK ELEM,510126000455,Fairfax County,21-Suburb: Large,Yes participating without using any Provision or the CEO,12.82
DAVIS CAREER CENTER,Virginia,DAVIS CAREER CENTER,510126002008,Fairfax County,21-Suburb: Large,No,†
DEER PARK ELEM,Virginia,DEER PARK ELEM,510126000768,Fairfax County,21-Suburb: Large,Yes participating without using any Provision or the CEO,13.12
DOGWOOD ELEM,Virginia,DOGWOOD ELEM,510126000458,Fairfax County,13-City: Small,Yes participating without using any Provision or the CEO,12.41
DRANESVILLE ELEM,Virginia,DRANESVILLE ELEM,510126002117,Fairfax County,21-Suburb: Large,Yes participating without using any Provision or the CEO,13.52
DUNN LORING EC RESOURCE CTR,Virginia,DUNN LORING E C RESOURCE CTR,510126002406,Fairfax County,21-Suburb: Large,No,42.28
EAGLE VIEW ELEM,Virginia,EAGLE VIEW ELEM,510126002496,Fairfax County,21-Suburb: Large,Yes participating without using any Provision or the CEO,13.42
EDISON HIGH,Virginia,EDISON HIGH,510126000461,Fairfax County,21-Suburb: Large,Yes participating without using any Provision or the CEO,14.46
EDISON HIGH SCHOOL ACADEMY,Virginia,EDISON HIGH SCHOOL ACADEMY,510126002951,Fairfax County,21-Suburb: Large,No,†
FAIRFAX COUNTY ADULT HIGH,Virginia,FAIRFAX COUNTY ADULT HIGH,510126000422,Fairfax County,21-Suburb: Large,No,7.00
FAIRFAX JUVENILE DETENTION HOME,Virginia,FAIRFAX JUVENILE DETENTION HOME,510004202383,Fairfax County,21-Suburb: Large,No,†
FAIRFAX VILLA ELEM,Virginia,FAIRFAX VILLA ELEM,510126000464,Fairfax County,21-Suburb: Large,Yes participating without using any Provision or the CEO,13.49
FAIRHILL ELEM,Virginia,FAIRHILL ELEM,510126000466,Fairfax County,21-Suburb: Large,Yes participating without using any Provision or the CEO,14.88
FAIRVIEW ELEM,Virginia,FAIRVIEW ELEM,510126000467,Fairfax County,21-Suburb: Large,Yes participating without using any Provision or the CEO,16.64
FALLS CHURCH GOVERNOR'S HEALTH SCIENCES ACADEMY,VIRGINIA,FALLS CHURCH GOVERNOR'S HEALTH SCIENCES ACADEMY,510126003000,Fairfax County,21-Suburb: Large,No,0.00
FALLS CHURCH HIGH,Virginia,FALLS CHURCH HIGH,510126000468,Fairfax County,21-Suburb: Large,Yes participating without using any Provision or the CEO,12.74
FALLS CHURCH HIGH SCHOOL ACADEMY,Virginia,FALLS CHURCH HIGH SCHOOL ACADEMY,510126002946,Fairfax County,21-Suburb: Large,No,†
FLINT HILL ELEM,Virginia,FLINT HILL ELEM,510126000469,Fairfax County,21-Suburb: Large,Yes participating without using any Provision or the CEO,16.34
FLORIS ELEM,Virginia,FLORIS ELEM,510126000470,Fairfax County,21-Suburb: Large,Yes participating without using any Provision or the CEO,16.74
FOREST EDGE ELEM,Virginia,FOREST EDGE ELEM,510126000471,Fairfax County,13-City: Small,Yes participating without using any Provision or the CEO,12.34
FORESTDALE ELEM,Virginia,FORESTDALE ELEM,510126000472,Fairfax County,21-Suburb: Large,Yes participating without using any Provision or the CEO,11.14
FORESTVILLE ELEM,Virginia,FORESTVILLE ELEM,510126001837,Fairfax County,21-Suburb: Large,Yes participating without using any Provision or the CEO,17.30
FORT BELVOIR ELEM,Virginia,FORT BELVOIR ELEM,510126001767,Fairfax County,41-Rural: Fringe,Yes participating without using any Provision or the CEO,15.64
FORT BELVOIR UPPER ELEM,VIRGINIA,FORT BELVOIR UPPER,510126003032,Fairfax County,41-Rural: Fringe,Yes participating without using any Provision or the CEO,14.41
FORT HUNT ELEM,Virginia,FORT HUNT ELEM,510126000473,Fairfax County,21-Suburb: Large,Yes participating without using any Provision or the CEO,14.62
FOX MILL ELEM,Virginia,FOX MILL ELEM,510126001838,Fairfax County,21-Suburb: Large,Yes participating without using any Provision or the CEO,12.98
FRANCONIA ELEM,Virginia,FRANCONIA ELEM,510126000476,Fairfax County,21-Suburb: Large,Yes participating without using any Provision or the CEO,15.82
FRANKLIN MIDDLE,Virginia,FRANKLIN MIDDLE,510126002007,Fairfax County,21-Suburb: Large,Yes participating without using any Provision or the CEO,13.94
FREEDOM HILL ELEM,Virginia,FREEDOM HILL ELEM,510126000478,Fairfax County,21-Suburb: Large,Yes participating without using any Provision or the CEO,13.46
FROST MIDDLE,Virginia,FROST MIDDLE,510126000479,Fairfax County,21-Suburb: Large,Yes participating without using any Provision or the CEO,14.32
GARFIELD ELEM,Virginia,GARFIELD ELEM,510126000480,Fairfax County,21-Suburb: Large,Yes participating without using any Provision or the CEO,12.67
GLASGOW MIDDLE,Virginia,GLASGOW MIDDLE,510126000481,Fairfax County,21-Suburb: Large,Yes participating without using any Provision or the CEO,12.69
GLEN FOREST ELEM,Virginia,GLEN FOREST ELEM,510126000482,Fairfax County,21-Suburb: Large,Yes participating without using any Provision or the CEO,13.65
GRAHAM ROAD ELEM,Virginia,GRAHAM ROAD ELEM,510126000483,Fairfax County,21-Suburb: Large,Yes participating without using any Provision or the CEO,11.81
GREAT FALLS ELEM,Virginia,GREAT FALLS ELEM,510126000484,Fairfax County,21-Suburb: Large,Yes participating without using any Provision or the CEO,14.43
GREENBRIAR EAST ELEM,Virginia,GREENBRIAR EAST ELEM,510126000486,Fairfax County,21-Suburb: Large,Yes participating without using any Provision or the CEO,14.82
GREENBRIAR WEST ELEM,Virginia,GREENBRIAR WEST ELEM,510126000487,Fairfax County,21-Suburb: Large,Yes participating without using any Provision or the CEO,15.73
GROVETON ELEM,Virginia,GROVETON ELEM,510126000488,Fairfax County,21-Suburb: Large,Yes participating without using any Provision or the CEO,12.96
GUNSTON ELEM,Virginia,GUNSTON ELEM,510126000490,Fairfax County,41-Rural: Fringe,Yes participating without using any Provision or the CEO,14.71
HALLEY ELEM,Virginia,HALLEY ELEM,510126001093,Fairfax County,21-Suburb: Large,Yes participating without using any Provision or the CEO,12.77
HARDISON GOVERNOR'S HEALTH SCIENCES ACADEMY,VIRGINIA,HARDISON GOVERNOR'S HEALTH SCIENCES ACADEMY,510126003012,Fairfax County,21-Suburb: Large,No,0.00
HAYCOCK ELEM,Virginia,HAYCOCK ELEM,510126000491,Fairfax County,21-Suburb: Large,Yes participating without using any Provision or the CEO,17.35
HAYFIELD ELEM,Virginia,HAYFIELD ELEM,510126000492,Fairfax County,21-Suburb: Large,Yes participating without using any Provision or the CEO,17.48
HAYFIELD SECONDARY,Virginia,HAYFIELD SECONDARY,510126000493,Fairfax County,21-Suburb: Large,Yes participating without using any Provision or the CEO,15.91
HERNDON ELEM,Virginia,HERNDON ELEM,510126000494,Fairfax County,21-Suburb: Large,Yes participating without using any Provision or the CEO,13.66
HERNDON HIGH,Virginia,HERNDON HIGH,510126000495,Fairfax County,21-Suburb: Large,Yes participating without using any Provision or the CEO,13.62
HERNDON MIDDLE,Virginia,HERNDON MIDDLE,510126000496,Fairfax County,21-Suburb: Large,Yes participating without using any Provision or the CEO,12.76
HOLLIN MEADOWS ELEM,Virginia,HOLLIN MEADOWS ELEM,510126000499,Fairfax County,21-Suburb: Large,Yes participating without using any Provision or the CEO,13.56
HOLMES MIDDLE,Virginia,HOLMES MIDDLE,510126000500,Fairfax County,21-Suburb: Large,Yes participating without using any Provision or the CEO,10.64
HUGHES MIDDLE,Virginia,HUGHES MIDDLE,510126001839,Fairfax County,13-City: Small,Yes participating without using any Provision or the CEO,14.13
HUNT VALLEY ELEM,Virginia,HUNT VALLEY ELEM,510126000501,Fairfax County,21-Suburb: Large,Yes participating without using any Provision or the CEO,15.69
HUNTERS WOODS ELEM,Virginia,HUNTERS WOODS ELEM,510126000502,Fairfax County,13-City: Small,Yes participating without using any Provision or the CEO,16.21
HUTCHISON ELEM,Virginia,HUTCHISON ELEM,510126000460,Fairfax County,21-Suburb: Large,Yes participating without using any Provision or the CEO,14.02
HYBLA VALLEY ELEM,Virginia,HYBLA VALLEY ELEM,510126000503,Fairfax County,21-Suburb: Large,Yes participating without using any Provision or the CEO,13.22
INTERAGENCY ALT. SEC. CTR,Virginia,INTERAGENCY ALT. SEC. CTR,510126000572,Fairfax County,21-Suburb: Large,No,†
