"Per Pupil Spending"
4/26/2022

Year,"Level Code",Division,School,"End-of-Year Average Daily Membership","School-Level Expenditures Per-Pupil Federal","School-Level Expenditures Per-Pupil State","School-Level Expenditures Per-Pupil Subtotal","Division-Level Expenditures Per-Pupil Federal","Division-Level Expenditures Per-Pupil State","Division-Level Expenditures Per-Pupil Subtotal","Total Per-Pupil Expenditures","Per-Pupil Exclusions","Total Expenditures","Per-Pupil Federal Funds","Per-Pupil State Funds"
"2019 - 2020",SCH,"Fairfax County Public Schools","Chesterbrook Elementary",633.57,173,9075,9249,146,5485,5631,14879,0,9427165,319,14560
"2019 - 2020",SCH,"Fairfax County Public Schools","Churchill Road Elementary",765.79,118,8168,8286,146,5485,5631,13917,0,10657402,264,13653
"2019 - 2020",SCH,"Fairfax County Public Schools","Clearview Elementary",719.74,436,11720,12156,146,5485,5631,17787,0,12801695,582,17205
"2019 - 2020",SCH,"Fairfax County Public Schools","Clermont Elementary",606.24,148,9297,9445,146,5485,5631,15076,0,9139757,294,14782
"2019 - 2020",SCH,"Fairfax County Public Schools","Coates Elementary",729.39,217,10899,11116,146,5485,5631,16747,0,12215087,363,16384
"2019 - 2020",SCH,"Fairfax County Public Schools","Columbia Elementary",463.21,217,10241,10458,146,5485,5631,16088,0,7452285,363,15726
"2019 - 2020",SCH,"Fairfax County Public Schools","Colvin Run Elementary",788.37,171,9277,9448,146,5485,5631,15079,0,11887757,317,14762
"2019 - 2020",SCH,"Fairfax County Public Schools","Cooper Middle",993.97,170,8520,8689,146,5485,5631,14320,0,14233907,316,14005
"2019 - 2020",SCH,"Fairfax County Public Schools","Crestwood Elementary",617.09,657,10189,10846,146,5485,5631,16477,0,10167638,803,15674
"2019 - 2020",SCH,"Fairfax County Public Schools","Crossfield Elementary",613.93,185,10410,10594,146,5485,5631,16225,0,9960968,331,15895
"2019 - 2020",SCH,"Fairfax County Public Schools","Cub Run Elementary",550.18,232,11412,11644,146,5485,5631,17274,0,9504068,378,16897
"2019 - 2020",SCH,"Fairfax County Public Schools","Cunningham Park Elementary",468.01,404,11706,12110,146,5485,5631,17740,0,8302716,550,17191
"2019 - 2020",SCH,"Fairfax County Public Schools","Daniels Run Elementary",761.17,453,10860,11313,146,5485,5631,16944,0,12897212,599,16345
"2019 - 2020",SCH,"Fairfax County Public Schools","Deer Park Elementary",601.73,200,12655,12855,146,5485,5631,18486,0,11123689,346,18140
"2019 - 2020",SCH,"Fairfax County Public Schools","Dogwood Elementary",719.44,955,10723,11678,146,5485,5631,17309,0,12452855,1101,16208
"2019 - 2020",SCH,"Fairfax County Public Schools","Dranesville Elementary",713.56,218,11691,11909,146,5485,5631,17540,0,12515795,364,17176
"2019 - 2020",SCH,"Fairfax County Public Schools","Eagle View Elementary",635.2,184,11254,11438,146,5485,5631,17069,0,10842157,330,16739
"2019 - 2020",SCH,"Fairfax County Public Schools","Edison High",2170.72,135,10820,10956,146,5485,5631,16586,0,36004595,281,16305
"2019 - 2020",SCH,"Fairfax County Public Schools","Fairfax High",2327.7,121,9969,10090,146,5485,5631,15720,10252,36592314,267,15454
"2019 - 2020",SCH,"Fairfax County Public Schools","Fairfax Villa Elementary",598.52,157,11636,11793,146,5485,5631,17424,0,10428379,303,17121
"2019 - 2020",SCH,"Fairfax County Public Schools","Fairhill Elementary",572.58,168,9182,9350,146,5485,5631,14981,0,8577865,314,14667
"2019 - 2020",SCH,"Fairfax County Public Schools","Fairview Elementary",781.77,178,8563,8741,146,5485,5631,14372,0,11235223,324,14048
"2019 - 2020",SCH,"Fairfax County Public Schools","Falls Church High",2044.5,242,11020,11263,146,5485,5631,16893,0,34538569,388,16505
"2019 - 2020",SCH,"Fairfax County Public Schools","Flint Hill Elementary",677.38,250,8304,8554,146,5485,5631,14185,0,9608525,396,13789
"2019 - 2020",SCH,"Fairfax County Public Schools","Floris Elementary",855.72,207,8546,8753,146,5485,5631,14384,0,12308253,353,14031
"2019 - 2020",SCH,"Fairfax County Public Schools","Forest Edge Elementary",514.79,476,10859,11335,146,5485,5631,16965,0,8733660,622,16344
"2019 - 2020",SCH,"Fairfax County Public Schools","Forestdale Elementary",511.98,687,12296,12983,146,5485,5631,18614,0,9529860,833,17781
"2019 - 2020",SCH,"Fairfax County Public Schools","Forestville Elementary",607.98,207,9232,9439,146,5485,5631,15070,0,9162016,353,14717
"2019 - 2020",SCH,"Fairfax County Public Schools","Fort Belvoir Elementary",911.93,324,9955,10278,146,5485,5631,15909,0,14507879,470,15440
"2019 - 2020",SCH,"Fairfax County Public Schools","Fort Belvoir Upper Elementary",517.46,320,10295,10615,146,5485,5631,16246,0,8406448,466,15780
"2019 - 2020",SCH,"Fairfax County Public Schools","Fort Hunt Elementary",589.62,20,10535,10555,146,5485,5631,16185,0,9543210,166,16020
"2019 - 2020",SCH,"Fairfax County Public Schools","Fox Mill Elementary",597.97,223,10373,10596,146,5485,5631,16227,0,9703097,369,15858
"2019 - 2020",SCH,"Fairfax County Public Schools","Franconia Elementary",591.21,234,9088,9323,146,5485,5631,14953,0,8840627,380,14573
"2019 - 2020",SCH,"Fairfax County Public Schools","Franklin Middle",894.25,216,10570,10787,146,5485,5631,16418,0,14681402,362,16055
"2019 - 2020",SCH,"Fairfax County Public Schools","Freedom Hill Elementary",584.63,71,10681,10753,146,5485,5631,16383,0,9578266,217,16166
"2019 - 2020",SCH,"Fairfax County Public Schools","Frost Middle",1248.73,277,10257,10534,146,5485,5631,16165,0,20185414,423,15742
"2019 - 2020",SCH,"Fairfax County Public Schools","Garfield Elementary",351.46,870,12391,13261,146,5485,5631,18892,0,6639708,1016,17876
"2019 - 2020",SCH,"Fairfax County Public Schools","Glasgow Middle",1902.7,101,10243,10344,146,5485,5631,15975,0,30394963,247,15728
"2019 - 2020",SCH,"Fairfax County Public Schools","Glen Forest Elementary",1094.87,835,10862,11697,146,5485,5631,17328,0,18971758,981,16347
"2019 - 2020",SCH,"Fairfax County Public Schools","Graham Road Elementary",420.73,1100,11247,12347,146,5485,5631,17978,0,7563674,1246,16732
"2019 - 2020",SCH,"Fairfax County Public Schools","Great Falls Elementary",510.47,226,10493,10719,146,5485,5631,16350,0,8346014,372,15978
"2019 - 2020",SCH,"Fairfax County Public Schools","Greenbriar East Elementary",935.06,112,9752,9864,146,5485,5631,15495,0,14489009,258,15237
"2019 - 2020",SCH,"Fairfax County Public Schools","Greenbriar West Elementary",741.13,145,9402,9547,146,5485,5631,15178,0,11248940,291,14887
"2019 - 2020",SCH,"Fairfax County Public Schools","Groveton Elementary",761.57,688,10651,11339,146,5485,5631,16970,0,12923964,834,16136
"2019 - 2020",SCH,"Fairfax County Public Schools","Gunston Elementary",533.78,370,10745,11114,146,5485,5631,16745,0,8938291,516,16230
"2019 - 2020",SCH,"Fairfax County Public Schools","Halley Elementary",613.96,272,12154,12427,146,5485,5631,18057,0,11086466,418,17639
"2019 - 2020",SCH,"Fairfax County Public Schools","Haycock Elementary",976.21,126,7938,8063,146,5485,5631,13694,0,13368425,272,13423
"2019 - 2020",SCH,"Fairfax County Public Schools","Hayfield Elementary",770.29,209,8981,9190,146,5485,5631,14821,0,11416238,355,14466
"2019 - 2020",SCH,"Fairfax County Public Schools","Hayfield Secondary",3106.92,168,9335,9503,146,5485,5631,15134,0,47019046,314,14820
"2019 - 2020",SCH,"Fairfax County Public Schools","Herndon Elementary",825.39,770,10611,11381,146,5485,5631,17012,0,14041297,916,16096
"2019 - 2020",SCH,"Fairfax County Public Schools","Herndon High",2369.38,199,10068,10267,146,5485,5631,15898,0,37667795,345,15553
"2019 - 2020",SCH,"Fairfax County Public Schools","Herndon Middle",1128.05,603,11358,11961,146,5485,5631,17592,0,19844127,749,16843
"2019 - 2020",SCH,"Fairfax County Public Schools","Hollin Meadows Elementary",687.89,712,11424,12136,146,5485,5631,17767,0,12221588,858,16909
"2019 - 2020",SCH,"Fairfax County Public Schools","Holmes Middle",986.28,199,11210,11409,146,5485,5631,17040,0,16806248,345,16695
"2019 - 2020",SCH,"Fairfax County Public Schools","Hughes Middle",1045.28,248,9802,10050,146,5485,5631,15681,0,16390872,394,15287
"2019 - 2020",SCH,"Fairfax County Public Schools","Hunt Valley Elementary",739.26,168,10178,10346,146,5485,5631,15977,0,11811318,314,15663
"2019 - 2020",SCH,"Fairfax County Public Schools","Hunters Woods Elementary School for the Arts and Sciences",810.38,136,9535,9671,146,5485,5631,15301,0,12399882,282,15020
"2019 - 2020",SCH,"Fairfax County Public Schools","Hutchison Elementary",1079.56,882,10579,11461,146,5485,5631,17092,13841,18451853,1028,16064
"2019 - 2020",SCH,"Fairfax County Public Schools","Hybla Valley Elementary",967.84,1045,10189,11234,146,5485,5631,16865,0,16322235,1191,15674
"2019 - 2020",SCH,"Fairfax County Public Schools","Irving Middle",1116.35,254,9071,9325,146,5485,5631,14956,0,16695701,400,14556
"2019 - 2020",SCH,"Fairfax County Public Schools","Island Creek Elementary",784.93,153,10353,10506,146,5485,5631,16137,0,12666177,299,15838
"2019 - 2020",SCH,"Fairfax County Public Schools","Jackson Middle",1040.1,247,10795,11042,146,5485,5631,16672,0,17341012,393,16280
"2019 - 2020",SCH,"Fairfax County Public Schools","Johnson Middle",1056.43,229,10104,10333,146,5485,5631,15964,0,16864910,375,15589
"2019 - 2020",SCH,"Fairfax County Public Schools","Justice High",2343.96,155,10152,10307,146,5485,5631,15938,0,37357114,301,15637
"2019 - 2020",SCH,"Fairfax County Public Schools","Keene Mill Elementary",828.42,126,8498,8624,146,5485,5631,14255,0,11809167,272,13983
"2019 - 2020",SCH,"Fairfax County Public Schools","Kent Gardens Elementary",1058.92,164,8019,8183,146,5485,5631,13813,0,14627197,310,13504
"2019 - 2020",SCH,"Fairfax County Public Schools","Key Center",71.69,3308,35693,39001,146,5485,5631,44632,0,3199675,3454,41178
"2019 - 2020",SCH,"Fairfax County Public Schools","Key Middle",820.98,343,10998,11340,146,5485,5631,16971,0,13933049,489,16483
"2019 - 2020",SCH,"Fairfax County Public Schools","Kilmer Center",51.2,3814,44382,48196,146,5485,5631,53827,0,2755938,3960,49867
"2019 - 2020",SCH,"Fairfax County Public Schools","Kilmer Middle",1145.02,150,9584,9734,146,5485,5631,15365,0,17593310,296,15069
"2019 - 2020",SCH,"Fairfax County Public Schools","Kings Glen Elementary",479.49,236,10775,11011,146,5485,5631,16642,0,7979600,382,16260
"2019 - 2020",SCH,"Fairfax County Public Schools","Kings Park Elementary",656.16,250,10433,10683,146,5485,5631,16314,0,10704372,396,15918
"2019 - 2020",SCH,"Fairfax County Public Schools","Lake Anne Elementary",598.34,716,11409,12125,146,5485,5631,17756,0,10624083,862,16894
"2019 - 2020",SCH,"Fairfax County Public Schools","Lake Braddock Secondary",4299.07,129,9021,9150,146,5485,5631,14781,0,63545654,275,14506
"2019 - 2020",SCH,"Fairfax County Public Schools","Lane Elementary",754.99,181,8917,9098,146,5485,5631,14729,0,11120374,327,14402
"2019 - 2020",SCH,"Fairfax County Public Schools","Langley High",1988.37,101,8695,8796,146,5485,5631,14426,0,28685133,247,14180
"2019 - 2020",SCH,"Fairfax County Public Schools","Laurel Hill Elementary",813.41,146,9359,9506,146,5485,5631,15136,0,12312053,292,14844
"2019 - 2020",SCH,"Fairfax County Public Schools","Laurel Ridge Elementary",846.42,256,11263,11519,146,5485,5631,17150,0,14515856,402,16748
"2019 - 2020",SCH,"Fairfax County Public Schools","Lees Corner Elementary",737.78,167,10604,10771,146,5485,5631,16402,0,12101161,313,16089
"2019 - 2020",SCH,"Fairfax County Public Schools","Lemon Road Elementary",590.37,303,9405,9707,146,5485,5631,15338,0,9055144,449,14890
"2019 - 2020",SCH,"Fairfax County Public Schools","Lewis High",1783.82,165,11096,11261,146,5485,5631,16891,0,30131116,311,16581
"2019 - 2020",SCH,"Fairfax County Public Schools","Liberty Middle",1100.34,346,10655,11001,146,5485,5631,16632,0,18301111,492,16140
"2019 - 2020",SCH,"Fairfax County Public Schools","Little Run Elementary",327.88,363,14034,14397,146,5485,5631,20028,0,6566719,509,19519
"2019 - 2020",SCH,"Fairfax County Public Schools","London Towne Elementary",830.03,480,10484,10964,146,5485,5631,16595,0,13774440,626,15969
"2019 - 2020",SCH,"Fairfax County Public Schools","Longfellow Middle",1333.82,133,9174,9307,146,5485,5631,14938,0,19924561,279,14659
"2019 - 2020",SCH,"Fairfax County Public Schools","Lorton Station Elementary",833.44,622,9904,10526,146,5485,5631,16157,0,13465660,768,15389
"2019 - 2020",SCH,"Fairfax County Public Schools","Lynbrook Elementary",607.01,887,11738,12625,146,5485,5631,18256,0,11081371,1033,17223
"2019 - 2020",SCH,"Fairfax County Public Schools","Madison High",2274.62,93,9004,9097,146,5485,5631,14727,0,33499342,239,14489
"2019 - 2020",SCH,"Fairfax County Public Schools","Mantua Elementary",1095.96,12,9337,9349,146,5485,5631,14980,0,16417553,158,14822
"2019 - 2020",SCH,"Fairfax County Public Schools","Marshall High",2152.2,74,9708,9782,146,5485,5631,15413,0,33171047,220,15193
"2019 - 2020",SCH,"Fairfax County Public Schools","Marshall Road Elementary",769.15,277,9743,10020,146,5485,5631,15651,0,12038097,423,15228
"2019 - 2020",SCH,"Fairfax County Public Schools","Mason Crest Elementary",601.93,468,11153,11622,146,5485,5631,17253,0,10384800,614,16638
"2019 - 2020",SCH,"Fairfax County Public Schools","McLean High",2360.13,92,8473,8565,146,5485,5631,14196,5935,33504540,238,13958
"2019 - 2020",SCH,"Fairfax County Public Schools","McNair Elementary",1293.64,84,8112,8197,146,5485,5631,13828,0,17887820,230,13597
"2019 - 2020",SCH,"Fairfax County Public Schools","Mosaic Elementary",1039.74,150,8661,8811,146,5485,5631,14441,0,15015383,296,14146
"2019 - 2020",SCH,"Fairfax County Public Schools","Mount Eagle Elementary",376.31,1103,11958,13061,146,5485,5631,18692,0,7033857,1249,17443
"2019 - 2020",SCH,"Fairfax County Public Schools","Mount Vernon High",1965.28,152,12042,12194,146,5485,5631,17824,0,35029788,298,17527
"2019 - 2020",SCH,"Fairfax County Public Schools","Mount Vernon Woods Elementary",647.37,1062,12146,13208,146,5485,5631,18839,0,12195615,1208,17631
"2019 - 2020",SCH,"Fairfax County Public Schools","Mountain View High",235.23,599,23050,23649,146,5485,5631,29280,0,6887589,745,28535
"2019 - 2020",SCH,"Fairfax County Public Schools","Navy Elementary",1000.93,119,8835,8954,146,5485,5631,14585,0,14598379,265,14320
"2019 - 2020",SCH,"Fairfax County Public Schools","Newington Forest Elementary",536.21,339,10814,11152,146,5485,5631,16783,0,8999321,485,16299
"2019 - 2020",SCH,"Fairfax County Public Schools","North Springfield Elementary",536.55,318,13191,13509,146,5485,5631,19140,0,10269446,464,18676
"2019 - 2020",SCH,"Fairfax County Public Schools","Oak Hill Elementary",848.16,214,9408,9622,146,5485,5631,15253,0,12937136,360,14893
"2019 - 2020",SCH,"Fairfax County Public Schools","Oak View Elementary",843.29,149,8718,8867,146,5485,5631,14498,0,12225683,295,14203
"2019 - 2020",SCH,"Fairfax County Public Schools","Oakton Elementary",791.2,155,8968,9123,146,5485,5631,14754,0,11673307,301,14453
"2019 - 2020",SCH,"Fairfax County Public Schools","Oakton High",2728.18,101,8018,8119,146,5485,5631,13750,33412,37512302,247,13503
"2019 - 2020",SCH,"Fairfax County Public Schools","Olde Creek Elementary",377.23,295,14352,14648,146,5485,5631,20279,0,7649662,441,19837
"2019 - 2020",SCH,"Fairfax County Public Schools","Orange Hunt Elementary",986.72,146,8464,8610,146,5485,5631,14241,0,14051550,292,13949
"2019 - 2020",SCH,"Fairfax County Public Schools","Parklawn Elementary",678.83,778,10780,11558,146,5485,5631,17189,0,11668496,924,16265
"2019 - 2020",SCH,"Fairfax County Public Schools","Pine Spring Elementary",624.48,797,11235,12033,146,5485,5631,17664,0,11030556,943,16720
"2019 - 2020",SCH,"Fairfax County Public Schools","Poe Middle",1000.68,808,11534,12342,146,5485,5631,17973,0,17984824,954,17019
"2019 - 2020",SCH,"Fairfax County Public Schools","Poplar Tree Elementary",733.02,288,9630,9918,146,5485,5631,15549,0,11397515,434,15115
"2019 - 2020",SCH,"Fairfax County Public Schools","Powell Elementary",953.75,107,9540,9647,146,5485,5631,15278,0,14571607,253,15025
"2019 - 2020",SCH,"Fairfax County Public Schools","Providence Elementary",906.94,591,10882,11473,146,5485,5631,17104,0,15511987,737,16367
"2019 - 2020",SCH,"Fairfax County Public Schools","Ravensworth Elementary",591.46,235,9688,9923,146,5485,5631,15554,0,9199352,381,15173
"2019 - 2020",SCH,"Fairfax County Public Schools","Riverside Elementary",827.12,764,10640,11404,146,5485,5631,17035,0,14090053,910,16125
"2019 - 2020",SCH,"Fairfax County Public Schools","Robinson Secondary",3785.56,114,9554,9667,146,5485,5631,15298,8000,57912048,260,15039
"2019 - 2020",SCH,"Fairfax County Public Schools","Rocky Run Middle",1153.68,229,8813,9043,146,5485,5631,14673,0,16928446,375,14298
"2019 - 2020",SCH,"Fairfax County Public Schools","Rolling Valley Elementary",614.14,156,10411,10567,146,5485,5631,16198,0,9947789,302,15896
"2019 - 2020",SCH,"Fairfax County Public Schools","Rose Hill Elementary",698.58,492,11336,11828,146,5485,5631,17459,0,12196254,638,16821
"2019 - 2020",SCH,"Fairfax County Public Schools","Sandburg Middle",1516.71,228,9600,9828,146,5485,5631,15459,0,23446780,374,15085
"2019 - 2020",SCH,"Fairfax County Public Schools","Sangster Elementary",1004.35,108,8487,8595,146,5485,5631,14225,0,14287235,254,13972
"2019 - 2020",SCH,"Fairfax County Public Schools","Saratoga Elementary",670.24,319,10852,11172,146,5485,5631,16803,0,11261882,465,16337
"2019 - 2020",SCH,"Fairfax County Public Schools","Sherman Elementary",358.33,304,11554,11857,146,5485,5631,17488,0,6266558,450,17039
"2019 - 2020",SCH,"Fairfax County Public Schools","Shrevewood Elementary",768.48,145,8976,9121,146,5485,5631,14752,0,11336484,291,14461
"2019 - 2020",SCH,"Fairfax County Public Schools","Silverbrook Elementary",826.74,270,8797,9067,146,5485,5631,14698,0,12151425,416,14282
"2019 - 2020",SCH,"Fairfax County Public Schools","Sleepy Hollow Elementary",424.55,648,13046,13694,146,5485,5631,19325,0,8204296,794,18531
"2019 - 2020",SCH,"Fairfax County Public Schools","South County High",2234.2,72,9125,9197,146,5485,5631,14827,0,33127216,218,14610
"2019 - 2020",SCH,"Fairfax County Public Schools","South County Middle",1057.28,179,10190,10369,146,5485,5631,15999,0,16915853,325,15675
"2019 - 2020",SCH,"Fairfax County Public Schools","South Lakes High",2509.79,130,10016,10146,146,5485,5631,15777,0,39597372,276,15501
"2019 - 2020",SCH,"Fairfax County Public Schools","Spring Hill Elementary",998.51,206,8590,8797,146,5485,5631,14428,0,14406075,352,14075
"2019 - 2020",SCH,"Fairfax County Public Schools","Springfield Estates Elementary",759.02,150,9326,9476,146,5485,5631,15107,0,11466352,296,14811
"2019 - 2020",SCH,"Fairfax County Public Schools","Stenwood Elementary",562.38,179,9731,9910,146,5485,5631,15541,0,8739887,325,15216
"2019 - 2020",SCH,"Fairfax County Public Schools","Stone Middle",769.46,221,11676,11898,146,5485,5631,17528,0,13487407,367,17161
"2019 - 2020",SCH,"Fairfax County Public Schools","Stratford Landing Elementary",787.05,155,9464,9619,146,5485,5631,15250,0,12002637,301,14949
"2019 - 2020",SCH,"Fairfax County Public Schools","Sunrise Valley Elementary",603.42,204,10123,10328,146,5485,5631,15959,0,9629766,350,15608
"2019 - 2020",SCH,"Fairfax County Public Schools","Terra Centre Elementary",641.14,152,9709,9861,146,5485,5631,15492,0,9932718,298,15194
"2019 - 2020",SCH,"Fairfax County Public Schools","Terraset Elementary",637.79,342,10956,11299,146,5485,5631,16929,0,10797341,488,16441
"2019 - 2020",SCH,"Fairfax County Public Schools","Thoreau Middle",1314.89,102,9209,9311,146,5485,5631,14942,0,19646896,248,14694
"2019 - 2020",SCH,"Fairfax County Public Schools","Timber Lane Elementary",649.18,608,10685,11293,146,5485,5631,16924,0,10986685,754,16170
"2019 - 2020",SCH,"Fairfax County Public Schools","Twain Middle",1082.1,378,9929,10307,146,5485,5631,15938,0,17246530,524,15414
"2019 - 2020",SCH,"Fairfax County Public Schools","Union Mill Elementary",936.43,99,8755,8854,146,5485,5631,14485,0,13564060,245,14240
"2019 - 2020",SCH,"Fairfax County Public Schools","Vienna Elementary",447.1,349,10600,10949,146,5485,5631,16580,0,7412963,495,16085
"2019 - 2020",SCH,"Fairfax County Public Schools","Virginia Run Elementary",679.66,214,10415,10629,146,5485,5631,16260,0,11050996,360,15900
"2019 - 2020",SCH,"Fairfax County Public Schools","Wakefield Forest Elementary",692.91,259,8979,9238,146,5485,5631,14869,0,10302815,405,14464
"2019 - 2020",SCH,"Fairfax County Public Schools","Waples Mill Elementary",934.55,196,9967,10163,146,5485,5631,15794,0,14760124,342,15452
"2019 - 2020",SCH,"Fairfax County Public Schools","Washington Mill Elementary",587.98,603,11406,12009,146,5485,5631,17640,0,10371924,749,16891
"2019 - 2020",SCH,"Fairfax County Public Schools","Waynewood Elementary",775.27,286,8542,8829,146,5485,5631,14460,0,11210081,432,14027
"2019 - 2020",SCH,"Fairfax County Public Schools","West Potomac High",2681.26,142,10330,10472,146,5485,5631,16103,0,43175394,288,15815
"2019 - 2020",SCH,"Fairfax County Public Schools","West Springfield Elementary",589.81,259,9725,9983,146,5485,5631,15614,0,9209346,405,15210
"2019 - 2020",SCH,"Fairfax County Public Schools","West Springfield High",2393.19,81,8551,8631,146,5485,5631,14262,0,34132381,227,14036
"2019 - 2020",SCH,"Fairfax County Public Schools","Westbriar Elementary",905.39,113,7733,7846,146,5485,5631,13476,0,12201439,259,13218
"2019 - 2020",SCH,"Fairfax County Public Schools","Westfield High",2628.89,100,9903,10003,146,5485,5631,15634,0,41100068,246,15388
"2019 - 2020",SCH,"Fairfax County Public Schools","Westgate Elementary",579.03,157,8984,9141,146,5485,5631,14772,0,8553548,303,14469
"2019 - 2020",SCH,"Fairfax County Public Schools","Westlawn Elementary",805.61,697,10128,10824,146,5485,5631,16455,0,13256517,843,15613
"2019 - 2020",SCH,"Fairfax County Public Schools","Weyanoke Elementary",583.62,806,10734,11540,146,5485,5631,17170,0,10020974,952,16219
"2019 - 2020",SCH,"Fairfax County Public Schools","White Oaks Elementary",791.67,130,8794,8924,146,5485,5631,14555,0,11522524,276,14279
"2019 - 2020",SCH,"Fairfax County Public Schools","Whitman Middle",975.79,392,11516,11908,146,5485,5631,17539,0,17114373,538,17001
"2019 - 2020",SCH,"Fairfax County Public Schools","Willow Springs Elementary",987.12,144,8592,8737,146,5485,5631,14368,0,14182481,290,14077
"2019 - 2020",SCH,"Fairfax County Public Schools","Wolftrap Elementary",568.31,205,9136,9341,146,5485,5631,14972,0,8508622,351,14621
"2019 - 2020",SCH,"Fairfax County Public Schools","Woodburn Elementary",538.08,784,11528,12312,146,5485,5631,17943,0,9654707,930,17013
"2019 - 2020",SCH,"Fairfax County Public Schools","Woodlawn Elementary",553.92,728,11918,12646,146,5485,5631,18277,0,10123975,874,17403
"2019 - 2020",SCH,"Fairfax County Public Schools","Woodley Hills Elementary",547.49,1044,12410,13454,146,5485,5631,19085,0,10448933,1190,17895
"2019 - 2020",SCH,"Fairfax County Public Schools","Woodson High",2414.17,72,9839,9911,146,5485,5631,15541,0,37519375,218,15324
